t_ns_since_cmd,position_counts,op_0x35_hex,op_0xA6_hex,op_0xA7_hex,op_0xAD_hex,op_0x1E_hex,op_0x4A_hex,op_0xB6_hex,op_0x4B_hex
1102177,-147,001d,00002504,0000000002aa,000000000000,00000000728e,00000000267d,001d,0000000a3333
4425969,-135,001d,00002504,0000000002aa,000000000000,000000012262,00000000267d,001d,0000000a3333
7764074,-90,001d,00002504,0000000002aa,000000010000,00000001ca38,00000000267d,001d,0000000a3333
11068424,-4,001d,00002504,0000000002aa,000000020000,000000027a0c,00000000267d,001d,0000000a3333
14406368,133,001d,00002504,0000000002aa,000000030000,0000000329e0,00000000267d,001d,0000000a3333
17819197,342,001d,00002504,0000000002aa,000000050000,00000003d9b4,00000000267d,001d,0000000a3333
21193744,591,001d,00002504,0000000002aa,000000040000,000000048988,00000000267d,001d,0000000a3333
24546779,884,001d,00002504,0000000002aa,000000050000,000000053408,00000000267d,001d,0000000a3333
27829731,1211,001d,00002504,0000000002aa,000000050000,00000005de88,00000000267d,001d,0000000a3333
31045272,1575,001d,00002504,0000000002aa,000000060000,00000006865e,00000000267d,001d,0000000a3333
34316814,1984,001d,00002504,0000000002aa,000000070000,0000000730de,00000000267d,001d,0000000a3333
37607630,2448,001d,00002504,0000000002aa,000000080000,00000007de08,00000000267d,001d,0000000a3333
40907666,2955,001d,00002504,0000000002aa,000000090000,000000088888,00000000267d,001d,0000000a3333
44212498,3508,001d,00002504,0000000002aa,000000090000,000000093308,00000000267d,001d,0000000a3333
47421504,4092,001d,00002504,0000000002aa,000000090000,00000009dade,00000000267d,001d,0000000a3333
50672030,4717,001d,00002504,0000fffffd57,0000000a0000,00000009e072,00000000267d,001d,0000000a3333
53924798,5363,001d,00002504,0000fffffd57,0000000a0000,0000000938e5,00000000267d,001d,0000000a3333
57213086,5970,001d,00002504,0000fffffd57,000000090000,000000089161,00000000267d,001d,0000000a3333
60380923,6505,001d,00002504,0000fffffd57,000000070000,00000007e9d3,00000000267d,001d,0000000a3333
63651898,7015,001d,00002504,0000fffffd56,000000070000,000000073cdd,00000000267d,001d,0000000a3333
66942529,7486,001d,00002504,0000fffffd56,000000070000,000000069531,00000000267d,001d,0000000a3333
70212574,7922,001d,00002504,0000fffffd56,000000070000,00000005ed8b,00000000267d,001d,0000000a3333
73397581,8306,001d,00002504,0000fffffd56,000000060000,000000054339,00000000267d,001d,0000000a3333
76670473,8661,001d,00002504,0000fffffd56,000000040000,000000049b87,00000000267d,001d,0000000a3333
80017034,8975,001d,00002504,0000fffffd56,000000040000,00000003ebd7,00000000267d,001d,0000000a3333
83307281,9244,001d,00002504,0000fffffd55,000000030000,000000034409,00000000267d,001d,0000000a3333
86421600,9447,001d,00002504,0000fffffd56,000000030000,00000002a6e3,00000000267d,001d,0000000a3333
89383848,9612,001d,00002504,0000fffffd55,000000020000,00000002070a,00000000267d,001d,0000000a3333
92727222,9745,001d,00002504,0000fffffd55,000000010000,0000000159c0,00000000267d,001d,0000000a3333
95905364,9833,001d,00002504,0000fffffd54,000000010000,00000000b9b5,00000000267d,001d,0000000a3333
98895407,9879,001d,00002504,0000fffffd53,000000000000,000000001c1f,00000000267d,001d,0000000a3333
101922259,9893,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
104944125,9895,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
107995135,9894,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
111185483,9892,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
114507783,9889,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
117806144,9886,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
121045009,9881,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
124467156,9877,001d,00002104,000000000000,0000ffff0000,000000000000,00000000267d,001d,0000000a3333
127926544,9872,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
131378573,9869,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
134840523,9864,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
138156529,9862,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
141544941,9860,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
144866296,9858,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
148261364,9856,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
151652983,9855,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
155113546,9855,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
