t_ns_since_cmd,position_counts,op_0x35_hex,op_0xA6_hex,op_0xA7_hex,op_0xAD_hex,op_0x1E_hex,op_0x4A_hex,op_0xB6_hex,op_0x4B_hex
3098012,-4687,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
9436981,-3332,001d,00002506,000000000000,000000090000,0000000a3333,00000000267d,001d,0000000a3333
13973301,-2467,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
18644031,-1549,001d,00002506,000000000000,000000090000,0000000a3333,00000000267d,001d,0000000a3333
23501257,-593,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
28527791,417,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
32782772,1319,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
36596407,2107,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
40111235,2835,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
43549590,3540,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
47067026,4260,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
50480272,4957,001d,00002504,0000fffffd56,0000000a0000,00000009c243,00000000267d,001d,0000000a3333
53859976,5605,001d,00002504,0000fffffd56,000000090000,000000090fff,00000000267d,001d,0000000a3333
57366947,6221,001d,00002504,0000fffffd57,000000090000,000000085862,00000000267d,001d,0000000a3333
60793768,6779,001d,00002504,0000fffffd56,000000070000,00000007a8b6,00000000267d,001d,0000000a3333
64245688,7284,001d,00002504,0000fffffd56,000000070000,00000006f3a3,00000000267d,001d,0000000a3333
67725413,7753,001d,00002504,0000fffffd56,000000070000,00000006413d,00000000267d,001d,0000000a3333
71142036,8167,001d,00002504,0000fffffd56,000000060000,000000058ed2,00000000267d,001d,0000000a3333
74540870,8533,001d,00002504,0000fffffd56,000000060000,00000004df0d,00000000267d,001d,0000000a3333
77943365,8859,001d,00002504,0000fffffd56,000000040000,000000042c9a,00000000267d,001d,0000000a3333
81373384,9140,001d,00002504,0000fffffd55,000000030000,000000037a10,00000000267d,001d,0000000a3333
84792206,9376,001d,00002504,0000fffffd55,000000030000,00000002c4d7,00000000267d,001d,0000000a3333
88303186,9567,001d,00002504,0000fffffd56,000000030000,000000020f8c,00000000267d,001d,0000000a3333
91792206,9714,001d,00002504,0000fffffd54,000000010000,000000015a29,00000000267d,001d,0000000a3333
95217385,9815,001d,00002504,0000fffffd54,000000010000,00000000af5c,00000000267d,001d,0000000a3333
98476313,9863,001d,00002504,0000fffffd53,000000000000,000000000000,00000000267d,001d,0000000a3333
101742322,9877,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
105072859,9879,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
108353387,9877,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
111721473,9876,001d,00002104,000000000000,0000ffff0000,000000000000,00000000267d,001d,0000000a3333
114908071,9873,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
118217872,9871,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
121410905,9868,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
124699593,9865,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
127948201,9863,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
131133976,9861,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
134414271,9859,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
137680009,9858,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
140908868,9857,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
144185734,9856,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
147513336,9855,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
150845168,9854,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
