t_ns_since_cmd,position_counts,op_0x35_hex,op_0xA6_hex,op_0xA7_hex,op_0xAD_hex,op_0x1E_hex,op_0x4A_hex,op_0xB6_hex,op_0x4B_hex
3153468,-4671,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
8560580,-3517,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
12989239,-2670,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
17145825,-1843,001d,00002506,000000000000,000000090000,0000000a3333,00000000267d,001d,0000000a3333
20631049,-1146,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
24173145,-456,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
27717279,251,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
31168546,959,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
34572989,1658,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
38044315,2383,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
41568250,3116,001d,00002506,000000000000,0000000a0000,0000000a3333,00000000267d,001d,0000000a3333
45002503,3820,001d,00002506,000000000000,0000000b0000,0000000a3333,00000000267d,001d,0000000a3333
48456803,4526,001d,00002506,000000000000,0000000a0000,0000000a2f61,00000000267d,001d,0000000a3333
51891085,5229,001d,00002504,0000fffffd57,0000000a0000,000000097d13,00000000267d,001d,0000000a3333
55357432,5863,001d,00002504,0000fffffd56,000000090000,00000008c57c,00000000267d,001d,0000000a3333
58811373,6458,001d,00002504,0000fffffd56,000000070000,0000000815dd,00000000267d,001d,0000000a3333
62243431,6991,001d,00002504,0000fffffd56,000000080000,0000000760d1,00000000267d,001d,0000000a3333
65665239,7476,001d,00002504,0000fffffd56,000000060000,00000006ae66,00000000267d,001d,0000000a3333
69080001,7912,001d,00002504,0000fffffd56,000000060000,00000005fead,00000000267d,001d,0000000a3333
72515460,8310,001d,00002504,0000fffffd56,000000050000,000000054c41,00000000267d,001d,0000000a3333
75909305,8663,001d,00002504,0000fffffd55,000000040000,000000049c74,00000000267d,001d,0000000a3333
79340758,8971,001d,00002504,0000fffffd56,000000050000,00000003ea02,00000000267d,001d,0000000a3333
82767387,9233,001d,00002504,0000fffffd55,000000030000,00000003376f,00000000267d,001d,0000000a3333
86110515,9446,001d,00002504,0000fffffd54,000000030000,000000028cdb,00000000267d,001d,0000000a3333
89386717,9617,001d,00002504,0000fffffd55,000000020000,00000001df8b,00000000267d,001d,0000000a3333
92760744,9743,001d,00002504,0000fffffd54,000000010000,000000013226,00000000267d,001d,0000000a3333
96026860,9829,001d,00002504,0000fffffd53,000000020000,00000000874d,00000000267d,001d,0000000a3333
99255544,9869,001d,00002504,0000fffffd51,000000000000,000000000000,00000000267d,001d,0000000a3333
102753086,9878,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
107205489,9878,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
111539565,9876,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
115134678,9875,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
118366182,9871,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
121785135,9870,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
125048345,9866,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
128457510,9864,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
131956178,9862,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
135364964,9860,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
138779744,9859,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
142083536,9858,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
145278617,9856,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
148575216,9856,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
151847493,9854,001d,00002104,000000000000,000000000000,000000000000,00000000267d,001d,0000000a3333
