trial_id,t_ns_since_cmd,position_counts
0,722386,583004
0,1118167,583345
0,1482974,583982
0,1869265,584474
0,2284392,585200
0,2660443,586143
0,3011920,587137
0,3365845,588253
0,3721114,589591
0,4094896,591325
0,4502696,593189
0,4934436,595290
0,5312671,597260
0,5705346,599675
0,6097689,602303
0,6482669,604781
0,6848043,607837
0,7240438,610685
0,7622468,614063
0,8045801,617605
0,8433144,620917
0,8806903,624981
0,9197724,628653
0,9556203,632356
0,9934936,636818
0,10308063,641051
0,10685943,645405
0,11078239,650341
0,11476603,655615
0,11867482,660573
0,12219189,665442
0,12598182,671135
0,12995106,677400
0,13411199,683520
0,13808653,689028
0,14206371,695887
0,14599243,702501
0,14991265,708672
0,15343783,715042
0,15723356,722250
0,16115172,728984
0,16482143,736605
0,16871525,743653
0,17244523,751671
0,17640139,759006
0,18014482,766384
0,18366294,773981
0,18726379,782815
0,19117250,790670
0,19482278,797772
0,19869635,805635
0,20266419,813955
0,20683895,821877
0,21080237,829597
0,21500231,837360
0,21907840,843893
0,22261707,850265
0,22640008,857545
0,23033770,863463
0,23386885,869572
0,23743707,876219
0,24137906,881778
0,24501312,887488
0,24867105,892688
0,25240730,897897
0,25598662,903886
0,25990318,908523
0,26344032,913288
0,26728285,918715
0,27120205,922861
0,27525341,927715
0,27911790,932535
0,28306725,936293
0,28663474,940533
0,29074115,944256
0,29442220,948227
0,29847196,951933
0,30243904,955413
0,30643745,958345
0,31015225,961150
0,31364764,963739
0,31746708,966424
0,32140142,968604
0,32508780,970671
0,32869097,972840
0,33260521,974592
0,33639526,976366
0,34034393,977773
0,34386904,978989
0,34743868,980053
0,35137388,981146
0,35518915,981875
0,35908000,982524
0,36282729,982972
0,36660430,983263
0,37013036,983383
0,37364477,983361
0,37724232,983494
0,38139242,983719
0,38502953,983777
0,38890237,983926
0,39260255,983999
0,39619852,984065
0,40036518,984113
0,40430483,984087
0,40848495,984061
0,41244861,984001
0,41639702,983972
0,42011571,983929
0,42367354,983883
0,42742702,983841
0,43096949,983788
0,43482199,983760
0,43849009,983730
0,44219771,983699
0,44600192,983665
0,44991517,983629
0,45344575,983606
0,45724058,983580
0,46117069,983564
0,46478095,983547
0,46844863,983526
0,47239877,983509
0,47596598,983492
0,47967970,983476
0,48364560,983459
0,48742091,983440
0,49094194,983423
0,49502371,983408
0,49888161,983395
0,50261659,983379
0,50661434,983367
0,51054548,983349
0,51427329,983337
0,51782909,983321
0,52157437,983307
0,52520249,983288
0,52908224,983271
0,53280404,983254
0,53670418,983231
0,54054183,983212
0,54406094,983191
0,54768463,983165
0,55161014,983119
0,55557954,983055
0,55956318,982984
0,56343088,982921
0,56733130,982855
0,57122602,982806
0,57500570,982764
0,57889057,982739
0,58240890,982721
0,58597087,982712
0,58970053,982711
0,59342768,982719
0,59741624,982729
0,60094585,982741
0,60477691,982754
0,60849865,982768
0,61245762,982780
0,61639944,982792
0,62034594,982801
0,62389214,982810
0,62765575,982820
0,63158425,982828
0,63519191,982836
0,63886049,982844
0,64243918,982855
0,64662577,982865
0,65055787,982873
0,65410745,982883
0,65763505,982894
0,66137148,982914
0,66503341,982941
0,66890726,982961
0,67261413,982978
0,67620181,982989
0,68013397,982990
0,68386349,982990
0,68744637,982984
0,69137053,982974
0,69521122,982964
0,69908039,982953
0,70281666,982948
0,70659996,982943
0,71010889,982941
0,71363844,982940
0,71726835,982940
0,72119389,982945
0,72503175,982948
0,72893024,982951
0,73264257,982953
0,73620624,982957
0,74010053,982960
0,74364842,982962
0,74745588,982967
0,75139600,982971
0,75504426,982973
0,75872496,982976
0,76285414,982978
0,76641046,982982
0,77037329,982982
0,77406656,982982
0,77830773,982981
0,78218527,982981
0,78596886,982981
0,78991887,982980
0,79342642,982981
0,79721959,982982
0,80117051,982984
0,80477081,982984
0,80875210,982984
0,81263645,982986
0,81637472,982986
0,82010987,982986
0,82363653,982988
0,82746012,982989
0,83140630,982989
0,83557381,982989
0,83955780,982990
0,84369697,982990
0,84786553,982990
0,85181386,982990
0,85582683,982990
0,85973030,982990
0,86347045,982990
0,86724268,982990
0,87117763,982990
0,87482793,982990
0,87851555,982991
0,88240482,982991
0,88620372,982993
0,89014848,982993
0,89387946,982994
0,89744589,982994
0,90137832,982994
0,90500337,982994
0,90866923,982994
0,91218615,982995
0,91596837,982995
0,91990329,982996
0,92343254,982996
0,92721359,982995
0,93114710,982995
0,93478574,982994
0,93850097,982994
1,721947,583002
1,1120931,583432
1,1535693,584067
1,1937083,584594
1,2369517,585486
1,2769363,586597
1,3184690,587780
1,3578408,589205
1,3995009,590903
1,4388508,592709
1,4790560,594489
1,5184854,596673
1,5574251,599052
1,5971883,601286
1,6369080,604065
1,6748983,607074
1,7140444,609873
1,7513981,613212
1,7912294,616265
1,8285507,619975
1,8704024,623977
1,9098097,627645
1,9471721,631879
1,9867936,635733
1,10263616,640499
1,10649485,644858
1,11062843,650411
1,11457462,655003
1,11833590,660644
1,12222148,665495
1,12629140,671194
1,12998200,677455
1,13412444,683562
1,13812346,689081
1,14209260,695940
1,14614826,702548
1,14994922,709664
1,15408672,716860
1,15812038,724219
1,16225102,731924
1,16628641,738655
1,16995430,746743
1,17388283,753782
1,17788756,762248
1,18181276,770708
1,18558481,778447
1,18936459,787281
1,19325026,794848
1,19726070,802539
1,20120607,810830
1,20512832,817854
1,20890521,825630
1,21284081,832361
1,21682234,840087
1,22060301,847385
1,22453808,853876
1,22850292,860889
1,23243145,867784
1,23651879,873782
1,24020357,880113
1,24412789,886650
1,24812512,891930
1,25209256,897812
1,25575089,903098
1,25995128,909138
1,26390236,913942
1,26791436,919263
1,27205652,923994
1,27606130,928895
1,27993963,933543
1,28388780,937274
1,28788222,941602
1,29181080,945768
1,29579933,949633
1,29993699,953219
1,30408698,956637
1,30806898,959537
1,31204293,962619
1,31620561,965378
1,31993653,967936
1,32388174,970044
1,32785938,972276
1,33179068,974316
1,33558640,976128
1,33994033,977750
1,34387668,978979
1,34791841,980190
1,35185084,981256
1,35584770,982049
1,35997344,982667
1,36399130,983077
1,36771656,983339
1,37213132,983378
1,37630475,983395
1,37996125,983723
1,38386781,983805
1,38790970,983935
1,39180399,984053
1,39558796,984072
1,39936614,984144
1,40325613,984096
1,40746315,984069
1,41139156,983999
1,41512138,983952
1,41912629,983902
1,42282988,983829
1,42680218,983775
1,43059538,983703
1,43454175,983662
1,43871267,983616
1,44282919,983571
1,44685437,983531
1,45064845,983483
1,45453682,983452
1,45872073,983426
1,46288327,983402
1,46687879,983376
1,47084221,983353
1,47454505,983337
1,47852018,983319
1,48225005,983303
1,48648706,983288
1,49036599,983278
1,49430509,983269
1,49812578,983261
1,50203458,983251
1,50607359,983242
1,50993611,983233
1,51389301,983226
1,51789010,983217
1,52179070,983207
1,52580007,983197
1,52971268,983186
1,53346552,983178
1,53742609,983170
1,54116301,983160
1,54513190,983154
1,54899520,983144
1,55286374,983136
1,55693160,983132
1,56065837,983125
1,56433533,983119
1,56826840,983111
1,57226074,983105
1,57608157,983097
1,57995854,983088
1,58387546,983080
1,58787852,983068
1,59180846,983051
1,59579117,983020
1,59992932,982973
1,60387120,982931
1,60787462,982885
1,61179312,982845
1,61588905,982817
1,61994368,982796
1,62386536,982783
1,62786606,982779
1,63178760,982779
1,63578058,982781
1,63951495,982789
1,64344830,982800
1,64741720,982806
1,65116702,982815
1,65511221,982824
1,65890789,982831
1,66283298,982838
1,66684268,982845
1,67056192,982852
1,67433234,982860
1,67831295,982868
1,68242055,982875
1,68648578,982882
1,69014039,982890
1,69407395,982898
1,69786893,982908
1,70200685,982926
1,70607499,982944
1,70998352,982959
1,71391766,982972
1,71788075,982980
1,72204265,982980
1,72605678,982977
1,72993995,982968
1,73387434,982962
1,73785767,982954
1,74179665,982948
1,74604896,982946
1,74992199,982945
1,75387889,982945
1,75783576,982948
1,76178243,982951
1,76534400,982955
1,76929764,982957
1,77306373,982959
1,77703099,982962
1,78116124,982966
1,78512558,982967
1,78893191,982969
1,79287927,982972
1,79692127,982974
1,80083977,982976
1,80494505,982978
1,80893039,982978
1,81284421,982979
1,81699053,982979
1,82121218,982979
1,82533408,982979
1,82932967,982978
1,83308191,982978
1,83707690,982978
1,84075517,982978
1,84469874,982979
1,84890459,982980
1,85284083,982980
1,85679354,982981
1,86055155,982983
1,86448912,982983
1,86856476,982984
1,87243064,982984
1,87649194,982985
1,88013248,982986
1,88407486,982986
1,88791921,982987
1,89184933,982988
1,89583083,982988
1,89996112,982988
1,90389324,982988
1,90788296,982988
1,91183719,982988
1,91581884,982988
1,91993270,982988
1,92387881,982989
1,92799318,982989
1,93187158,982989
1,93573710,982989
1,93993980,982989
1,94408784,982989
1,94812463,982989
1,95203371,982989
1,95609607,982989
1,95999684,982989
1,96389475,982989
1,96786913,982990
1,97200240,982990
1,97606557,982990
1,97992744,982990
1,98387983,982990
1,98784954,982991
1,99178495,982991
1,99579460,982991
1,99998186,982991
1,100387920,982991
1,100789922,982991
1,101183252,982991
1,101584104,982991
1,101994705,982990
2,705950,583003
2,1068142,583338
2,1452287,583970
2,1822839,584420
2,2199172,585096
2,2572299,586152
2,2982365,587303
2,3414123,588620
2,3796414,590025
2,4167916,591772
2,4560423,593702
2,4955961,595554
2,5340575,597550
2,5730494,599997
2,6125126,602659
2,6497133,605168
2,6870906,608264
2,7266713,611124
2,7645034,614521
2,8036292,617634
2,8453913,621441
2,8840858,625540
2,9236131,629750
2,9654209,634032
2,10038470,638636
2,10491725,643571
2,10946641,649109
2,11353174,654234
2,11739103,659853
2,12152507,665420
2,12551458,671080
2,12964284,676542
2,13347600,682721
2,13733652,688950
2,14148110,695813
2,14549065,701623
2,14925038,708619
2,15355939,715892
2,15737362,723207
2,16147835,730908
2,16554058,738618
2,16964602,746719
2,17372461,754806
2,17779114,763293
2,18191782,771806
2,18608651,780649
2,19007874,789570
2,19424320,797786
2,19825089,805646
2,20231870,812956
2,20605890,820883
2,21161476,832464
2,21757110,842941
2,22279718,852063
2,22836912,861757
2,23384036,871280
2,23922864,879325
2,24459001,888211
2,25002596,896281
2,25472489,902339
2,25884873,907793
2,26275643,913186
2,26799802,919859
2,27317050,926452
2,27858683,932544
2,28399942,938523
2,28940677,943903
2,29450354,948835
2,29869075,952430
2,30275184,955898
2,30696514,959220
2,31190138,963008
2,31713035,966720
2,32192435,969200
2,32696016,972303
2,33214514,974812
2,33749532,976979
2,34200893,978678
2,34707642,980207
2,35170808,981368
2,35707166,982370
2,36169426,982910
2,36596400,983246
2,36988542,983364
2,37382966,983322
2,37750714,983527
2,38141753,983740
2,38539609,983773
2,38926382,983934
2,39341038,983953
2,39719446,984002
2,40073520,984007
2,40462593,983955
2,40857405,983917
2,41226201,983845
2,41618839,983814
2,41992723,983773
2,42385296,983724
2,42741517,983688
2,43114474,983639
2,43471538,983612
2,43866072,983594
2,44217795,983573
2,44601180,983560
2,44992489,983542
2,45378842,983534
2,45785454,983527
2,46162479,983519
2,46534101,983513
2,46926770,983498
2,47306011,983486
2,47676352,983471
2,48036999,983454
2,48430720,983437
2,48845636,983420
2,49200367,983401
2,49584581,983379
2,49977670,983354
2,50379032,983337
2,50741078,983318
2,51093262,983304
2,51452868,983285
2,51824745,983269
2,52221148,983251
2,52619341,983232
2,52991389,983214
2,53353393,983200
2,53741347,983185
2,54114332,983172
2,54497316,983159
2,54865353,983150
2,55238477,983139
2,55598607,983131
2,55967721,983121
2,56341373,983111
2,56720724,983103
2,57070377,983093
2,57447965,983082
2,57821806,983066
2,58216363,983046
2,58572870,983021
2,58946778,982984
2,59364233,982937
2,59749817,982891
2,60137867,982842
2,60514614,982803
2,60928977,982770
2,61286292,982747
2,61658447,982733
2,62055147,982726
2,62468979,982726
2,62833604,982732
2,63221023,982741
2,63598411,982752
2,63991706,982764
2,64350718,982774
2,64739555,982786
2,65132871,982797
2,65491256,982805
2,65841904,982815
2,66196754,982821
2,66572996,982831
2,66965821,982839
2,67319643,982846
2,67698283,982855
2,68093038,982862
2,68451558,982870
2,68822302,982877
2,69217447,982886
2,69573210,982894
2,69945842,982904
2,70357826,982921
2,70723617,982946
2,71117011,982963
2,71473277,982977
2,71843766,982987
2,72196003,982990
2,72598788,982989
2,72970149,982981
2,73330940,982973
2,73740328,982963
2,74092132,982956
2,74448835,982948
2,74822836,982943
2,75216692,982943
2,75575137,982941
2,75967684,982941
2,76331971,982943
2,76724281,982948
2,77096913,982951
2,77473285,982955
2,77865411,982957
2,78238223,982960
2,78596229,982963
2,78989907,982964
2,79351526,982968
2,79740382,982970
2,80134486,982975
2,80501983,982977
2,80936187,982980
2,81332273,982982
2,81724341,982986
2,82134892,982986
2,82492979,982984
2,82886408,982984
