trial_id,t_ns_since_cmd,position_counts
0,718939,621596
0,1120449,621595
0,1499117,621595
0,1890337,621594
0,2242764,621591
0,2602502,621590
0,2993660,621588
0,3367883,621585
0,3766299,621583
0,4138795,621579
0,4494972,621575
0,4847017,621570
0,5221519,621566
0,5619709,621559
0,5971195,621554
0,6344985,621548
0,6750013,621540
0,7153522,621530
0,7540652,621523
0,7935810,621511
0,8333759,621503
0,8705623,621491
0,9099367,621481
0,9476611,621466
0,9847595,621455
0,10242279,621441
0,10601473,621429
0,11007055,621411
0,11425245,621394
0,11832879,621377
0,12224433,621361
0,12602317,621342
0,12975597,621326
0,13349081,621307
0,13742919,621287
0,14117722,621270
0,14474591,621249
0,14848923,621227
0,15241415,621208
0,15598982,621187
0,15973298,621161
0,16367754,621139
0,16764425,621113
0,17139090,621090
0,17494066,621066
0,17867152,621041
0,18221382,621013
0,18626163,620986
0,18997682,620960
0,19350515,620930
0,19748582,620903
0,20144320,620871
0,20539199,620842
0,20889354,620814
0,21243231,620785
0,21602041,620750
0,21995964,620720
0,22370685,620684
0,22766994,620652
0,23141233,620620
0,23498377,620586
0,23892150,620555
0,24266566,620523
0,24622672,620488
0,25038319,620458
0,25401896,620424
0,25788620,620393
0,26158785,620367
0,26516971,620339
0,26867784,620310
0,27221527,620285
0,27600749,620253
0,27992903,620228
0,28345793,620201
0,28723457,620173
0,29116609,620148
0,29474485,620122
0,29853220,620098
0,30246387,620074
0,30602030,620052
0,30972748,620027
0,31378377,620006
0,31747141,619986
0,32117412,619959
0,32499327,619943
0,32869629,619922
0,33221487,619903
0,33599122,619884
0,33993923,619868
0,34345674,619845
0,34774953,619830
0,35160753,619814
0,35535901,619797
0,35891106,619783
0,36242808,619771
0,36598219,619755
0,36972950,619740
0,37346623,619728
0,37747096,619714
0,38118797,619701
0,38475205,619690
0,38846357,619682
0,39221406,619667
0,39598561,619660
0,39970732,619651
0,40345851,619643
0,40748686,619632
0,41164766,619626
0,41561533,619618
0,41934574,619613
0,42288555,619608
0,42643079,619603
0,42993282,619597
0,43346932,619595
0,43727061,619590
0,44120490,619586
0,44478011,619585
0,44849871,619581
0,45241939,619579
0,45601253,619579
0,45974582,619579
0,46371462,619578
0,46770578,619576
0,47138319,619576
0,47496607,619576
0,47848204,619575
0,48221648,619574
0,48600631,619574
0,48972695,619574
0,49347132,619573
0,49745235,619573
0,50118409,619574
0,50473790,619573
0,50845931,619574
0,51241203,619574
0,51605548,619574
0,51996215,619574
0,52368231,619574
0,52769303,619575
0,53141681,619574
0,53497930,619574
0,53893626,619575
0,54246724,619575
0,54630653,619575
0,55021939,619575
0,55401539,619577
0,55787037,619577
0,56142761,619576
0,56520300,619577
0,56936416,619577
0,57334029,619577
0,57745200,619577
0,58098078,619577
0,58475106,619578
0,58877865,619578
0,59264486,619578
0,59642050,619578
0,59994289,619579
0,60345590,619579
0,60743610,619581
0,61119221,619581
0,61472606,619580
0,61847686,619581
0,62242995,619581
0,62603586,619581
0,62973761,619583
0,63369140,619583
0,63746278,619582
0,64099288,619582
0,64497914,619583
0,64870179,619583
0,65226079,619584
0,65598688,619584
0,65981686,619584
0,66348779,619584
0,66747873,619585
0,67141616,619585
0,67519883,619585
0,67892073,619586
0,68246366,619587
0,68601936,619586
0,68996052,619586
0,69368743,619587
0,69765129,619587
0,70138166,619586
0,70496262,619587
0,70846997,619588
0,71220380,619588
0,71621467,619588
0,71971656,619588
0,72355672,619588
0,72747442,619588
0,73161052,619588
0,73517890,619588
0,73866225,619588
0,74220888,619588
0,74601578,619588
0,74994816,619589
0,75347412,619590
0,75724900,619590
0,76119212,619590
0,76475282,619590
0,76847660,619590
0,77240696,619589
0,77596204,619592
0,77971275,619591
0,78348470,619591
0,78743089,619591
0,79141374,619592
0,79534623,619591
0,79945029,619592
0,80335249,619592
0,80747021,619592
0,81142122,619591
0,81497025,619591
0,81845465,619591
0,82222029,619592
0,82620900,619592
0,82987591,619592
0,83349972,619592
0,83776697,619592
0,84163092,619592
0,84519481,619592
0,84889928,619592
0,85244865,619592
0,85599211,619592
0,85973126,619592
0,86399558,619592
0,86800158,619592
0,87204009,619592
0,87563234,619593
0,87937302,619593
0,88335758,619593
0,88748930,619593
0,89144591,619593
0,89540921,619593
0,89935018,619593
0,90306781,619593
0,90663331,619593
0,91019708,619593
0,91404179,619593
0,91790714,619593
0,92163829,619593
0,92563132,619593
0,92954550,619593
1,719390,619593
1,1099294,619593
1,1471465,619592
1,1853762,619592
1,2245953,619590
1,2654499,619587
1,3018492,619587
1,3411434,619584
1,3788031,619579
1,4182516,619578
1,4533417,619576
1,4912955,619568
1,5306657,619565
1,5695023,619560
1,6060905,619553
1,6433855,619548
1,6813734,619539
1,7187389,619531
1,7559241,619523
1,7932609,619511
1,8333666,619501
1,8784134,619490
1,9219682,619475
1,9623694,619462
1,10018665,619449
1,10395895,619434
1,10813381,619420
1,11208414,619403
1,11598010,619389
1,11995110,619373
1,12390551,619355
1,12747460,619337
1,13141615,619319
1,13517158,619298
1,13892486,619279
1,14302576,619258
1,14697051,619233
1,15081061,619210
1,15493385,619189
1,15870060,619164
1,16263858,619143
1,16618174,619120
1,16995278,619099
1,17346181,619073
1,17730401,619046
1,18153158,619019
1,18537440,618989
1,18913950,618962
1,19286106,618938
1,19675875,618906
1,20053769,618877
1,20409884,618850
1,20786348,618821
1,21138916,618791
1,21493869,618760
1,21849887,618727
1,22244666,618694
1,22618358,618658
1,23018641,618626
1,23387086,618593
1,23751019,618559
1,24164224,618523
1,24555369,618493
1,24935111,618456
1,25332938,618424
1,25726869,618391
1,26120308,618360
1,26515381,618332
1,26871786,618298
1,27288032,618268
1,27690302,618239
1,28083095,618209
1,28470662,618179
1,28849842,618155
1,29224723,618125
1,29649452,618098
1,30035799,618075
1,30390512,618053
1,30767236,618028
1,31180492,618008
1,31533449,617987
1,31890811,617962
1,32286268,617944
1,32669486,617921
1,33056316,617901
1,33446586,617882
1,33812293,617863
1,34184401,617844
1,34560297,617827
1,34939780,617809
1,35308605,617793
1,35689379,617779
1,36096384,617761
1,36494924,617747
1,36850323,617736
1,37243431,617720
1,37596993,617709
1,37994518,617695
1,38419507,617683
1,38809502,617670
1,39199588,617660
1,39559296,617652
1,39937240,617640
1,40325859,617632
1,40786821,617620
1,41223111,617612
1,41626934,617605
1,42021003,617599
1,42392145,617593
1,42791507,617589
1,43164153,617584
1,43556468,617580
1,43913124,617578
1,44286865,617575
1,44690049,617572
1,45083329,617571
1,45471674,617571
1,45850098,617569
1,46223045,617568
1,46596089,617568
1,46996952,617568
1,47390925,617566
1,47751929,617566
1,48121804,617566
1,48515899,617566
1,48897471,617565
1,49290106,617565
1,49671332,617564
1,50061180,617564
1,50436946,617564
1,50836829,617565
1,51202880,617564
1,51556939,617565
1,51914504,617567
1,52307190,617565
1,52671730,617565
1,53035803,617567
1,53389356,617567
1,53745210,617566
1,54139238,617567
1,54515819,617568
1,54890832,617568
1,55284501,617568
1,55650174,617569
1,56036241,617569
1,56409858,617569
1,56769200,617569
1,57160895,617570
1,57551766,617570
1,57918093,617570
1,58306764,617571
1,58673834,617571
1,59036307,617572
1,59390137,617572
1,59746688,617572
1,60138590,617574
1,60492952,617574
1,60861086,617574
1,61227210,617574
1,61620855,617574
1,61997911,617574
1,62388978,617575
1,62760982,617575
1,63123334,617575
1,63514049,617577
1,63894022,617577
1,64285620,617577
1,64654043,617577
1,65023613,617577
1,65412005,617577
1,65790507,617577
1,66184490,617578
1,66626546,617579
1,67000588,617580
1,67371082,617579
1,67769630,617580
1,68142715,617580
1,68536906,617580
1,68897328,617580
1,69289942,617582
1,69674524,617582
1,70038231,617582
1,70435173,617582
1,70816725,617583
1,71207080,617583
1,71621508,617583
1,72019092,617584
1,72392455,617584
1,72791590,617584
1,73161980,617584
1,73559023,617585
1,73942842,617584
1,74330777,617584
1,74748413,617585
1,75140927,617585
1,75518010,617585
1,75914064,617585
1,76286712,617585
1,76654758,617585
1,77041525,617585
1,77412141,617586
1,77811885,617586
1,78203431,617587
1,78619680,617587
1,79001666,617587
1,79392870,617587
1,79772951,617587
1,80163921,617587
1,80538779,617587
1,80939253,617587
1,81332924,617587
1,81730459,617587
1,82121180,617587
1,82520330,617588
1,82895430,617588
1,83287549,617588
1,83676001,617588
1,84061730,617588
1,84458109,617588
1,84850615,617588
1,85223381,617588
1,85597955,617588
1,85996605,617589
1,86390334,617589
1,86770630,617589
1,87142028,617589
1,87548047,617589
1,87916301,617589
1,88309423,617590
1,88722796,617590
1,89122684,617589
1,89495399,617590
1,89899268,617590
1,90349442,617589
1,90731516,617590
1,91123325,617590
1,91498601,617590
1,91895423,617590
1,92288718,617590
1,92674830,617590
1,93060423,617592
1,93438332,617589
1,93832045,617591
1,94245179,617591
1,94652749,617589
1,95017024,617591
1,95413062,617591
1,95809820,617589
1,96187068,617591
1,96563393,617593
1,96965056,617590
1,97330136,617591
1,97731419,617592
1,98122348,617592
1,98494863,617591
1,98893643,617592
1,99266746,617592
1,99675303,617590
1,100038317,617590
1,100432584,617592
1,100813539,617592
1,101208127,617591
2,701462,617592
2,1076700,617591
2,1471765,617591
2,1870245,617587
2,2263838,617586
2,2686853,617586
2,3084967,617584
2,3454048,617580
2,3850659,617579
2,4276484,617574
2,4702241,617571
2,5079058,617566
2,5492722,617560
2,5889101,617554
2,6262938,617548
2,6668815,617540
2,7058890,617533
2,7449800,617522
2,7847435,617513
2,8242652,617503
2,8626805,617491
2,9013228,617480
2,9408357,617468
2,9794362,617455
2,10165798,617440
2,10533541,617428
2,10916873,617415
2,11298265,617397
2,11695673,617381
2,12077351,617365
2,12473064,617346
2,12869771,617327
2,13263823,617311
2,13672537,617291
2,14032259,617271
2,14389411,617252
2,14765301,617231
2,15158464,617206
2,15601083,617182
2,15993644,617157
2,16387055,617130
2,16785749,617109
2,17178287,617082
2,17575542,617051
2,17972901,617027
2,18365852,616997
2,18744156,616972
2,19138246,616942
2,19511771,616914
2,19868310,616887
2,20241324,616860
2,20596543,616827
2,20996831,616798
2,21368532,616765
2,21767485,616734
2,22138822,616700
2,22513759,616668
2,22891805,616636
2,23282856,616600
2,23696853,616562
2,24077849,616527
2,24471529,616495
2,24871907,616460
2,25243187,616431
2,25627689,616397
2,26017306,616368
2,26408911,616335
2,26789497,616304
2,27183741,616275
2,27595268,616243
2,27992582,616215
2,28366125,616191
2,28744495,616161
2,29151911,616136
2,29535419,616108
2,29914637,616082
2,30309189,616055
2,30723756,616035
2,31097046,616008
2,31490988,615985
2,31874318,615965
2,32263648,615940
2,32692371,615919
2,33076625,615900
2,33450843,615880
2,33848243,615861
2,34243880,615843
2,34629027,615826
2,34993375,615808
2,35388565,615790
2,35819213,615773
2,36200211,615760
2,36575194,615742
2,36974937,615729
2,37366696,615716
2,37743146,615702
2,38158071,615691
2,38559334,615677
2,38972376,615664
2,39387803,615655
2,39786730,615645
2,40178135,615637
2,40555826,615628
2,40951091,615620
2,41324510,615614
2,41743938,615606
2,42136890,615599
2,42513504,615595
2,42918773,615589
2,43287799,615583
2,43674978,615580
2,44077149,615577
2,44450883,615573
2,44870077,615572
2,45260953,615572
2,45629131,615570
2,45993498,615569
2,46388248,615569
2,46786541,615569
2,47162063,615568
2,47531711,615567
2,47891481,615567
2,48283506,615567
2,48689787,615566
2,49074564,615564
2,49470313,615564
2,49826544,615564
2,50220405,615564
2,50595769,615564
2,50994076,615564
2,51366208,615563
2,51721451,615563
2,52116692,615563
2,52490251,615563
2,52846998,615563
2,53242723,615564
2,53645436,615564
2,54038701,615565
2,54436783,615565
2,54807426,615565
2,55200448,615565
2,55596700,615566
2,55974540,615566
2,56389028,615566
2,56787829,615566
2,57184842,615566
2,57576719,615567
2,57973259,615567
2,58366829,615569
2,58746565,615569
2,59136682,615569
2,59512979,615569
2,59909492,615570
2,60307089,615570
2,60712320,615570
2,61097793,615570
2,61492269,615571
2,61868378,615571
2,62262934,615571
2,62629228,615572
2,62992412,615572
2,63387397,615572
2,63744829,615572
2,64115518,615574
2,64470301,615574
2,64829178,615574
2,65220766,615576
2,65595090,615576
2,65994292,615576
2,66387078,615576
2,66770002,615576
2,67140960,615576
2,67532782,615576
2,67893387,615576
2,68283154,615576
2,68672020,615577
2,69037514,615577
2,69432941,615577
2,69851067,615578
2,70243434,615578
2,70629238,615578
2,71017080,615579
2,71388145,615581
2,71785066,615580
2,72179356,615581
2,72575308,615580
2,72972263,615581
2,73388348,615581
2,73787144,615582
2,74185757,615582
2,74575017,615581
2,74973513,615583
2,75366041,615583
2,75744217,615583
2,76136467,615583
2,76491982,615584
2,76892045,615584
2,77285555,615584
2,77681515,615584
2,78095894,615584
2,78503623,615585
2,78872088,615585
2,79265719,615586
2,79669219,615585
2,80032095,615585
2,80434040,615586
2,80850932,615586
2,81221791,615586
2,81629271,615586
2,81993229,615587
2,82388160,615586
2,82786079,615587
2,83161221,615587
2,83553725,615587
2,83971167,615587
2,84366052,615588
2,84744371,615588
2,85137492,615587
2,85524054,615588
2,85912360,615588
2,86287766,615587
2,86697468,615587
2,87094917,615588
2,87450316,615588
2,87828776,615588
2,88219845,615588
2,88575567,615588
2,88952223,615588
2,89344904,615588
2,89701945,615589
2,90076067,615589
2,90470115,615589
2,90831401,615589
2,91204289,615589
2,91597337,615589
2,91974341,615589
2,92366470,615589
2,92745453,615589
2,93138023,615589
2,93533590,615589
2,93911440,615589
2,94304216,615589
2,94722020,615590
3,765036,615589
3,1166031,615589
3,1558524,615588
3,1913193,615586
3,2311601,615586
3,2705543,615583
3,3142677,615581
3,3537825,615578
3,3934199,615575
3,4352473,615569
3,4730111,615569
3,5128105,615563
3,5522130,615557
3,5915653,615552
3,6313771,615546
3,6706007,615538
3,7122642,615528
3,7519028,615520
3,7934830,615507
3,8334741,615499
3,8704693,615488
3,9093103,615479
3,9456014,615466
3,9830488,615453
3,10228249,615439
3,10625766,615426
3,11038174,615410
3,11413583,615395
3,11829029,615379
3,12187187,615362
3,12579696,615345
3,12934543,615329
3,13310892,615309
3,13704527,615291
3,14098625,615271
3,14481124,615250
3,14876655,615228
3,15270813,615205
3,15675314,615181
3,16074633,615157
3,16437906,615135
3,16830474,615111
3,17227720,615082
3,17605096,615056
3,18000546,615030
3,18394917,615001
3,18788906,614972
3,19186259,614948
3,19560100,614913
3,19954158,614889
3,20466819,614842
3,21014520,614798
3,21593301,614752
3,22173556,614703
3,22694667,614658
3,23166167,614613
3,23659535,614573
3,24148977,614528
3,24629265,614487
3,25018532,614455
3,25377774,614425
3,25794932,614388
3,26253115,614349
3,26660763,614322
3,26973639,614300
3,27333636,614272
3,27709140,614243
3,28077441,614216
3,28415937,614193
3,28755943,614169
3,29097554,614143
3,29445399,614123
3,29755612,614103
3,30074403,614078
3,30427126,614057
3,30801033,614035
3,31148613,614012
3,31493275,613990
3,31853443,613974
3,32273759,613946
3,32675560,613925
3,33079049,613906
3,33500999,613880
3,33887806,613862
3,34350007,613839
3,34747063,613819
3,35228165,613800
3,35621559,613783
3,36003573,613768
3,36377322,613754
3,36730574,613739
3,37125712,613725
3,37505826,613712
3,37877809,613698
3,38280915,613688
3,38654639,613674
3,39046431,613666
3,39404121,613655
3,39775797,613646
3,40132872,613636
3,40507319,613629
3,40915685,613619
3,41300890,613612
3,41651822,613608
3,42004321,613599
3,42389155,613594
3,42783453,613589
3,43164286,613585
3,43557755,613580
3,43910443,613577
3,44284882,613574
3,44637470,613571
3,45040251,613570
3,45411422,613569
3,45763082,613568
3,46141665,613565
3,46513711,613565
3,46886374,613565
3,47265003,613563
3,47638312,613562
3,48010593,613563
3,48416576,613563
3,48808673,613562
3,49185218,613563
3,49557287,613563
3,49911822,613562
3,50267889,613561
3,50657758,613562
3,51032986,613562
3,51435426,613562
3,51829255,613562
3,52205338,613562
3,52578134,613562
3,52930607,613562
3,53288949,613562
3,53682199,613562
3,54066187,613562
3,54452942,613563
3,54824024,613563
3,55183141,613564
3,55577411,613564
3,55951397,613564
3,56307953,613564
3,56734687,613564
3,57127186,613564
3,57533221,613565
3,57885742,613565
3,58264146,613565
3,58656853,613566
3,59011644,613566
3,59414820,613566
3,59807442,613567
3,60164272,613567
3,60556477,613568
3,60910763,613568
3,61288994,613569
3,61682670,613569
3,62032314,613569
3,62430402,613570
3,62807310,613570
3,63162645,613569
3,63536522,613569
3,63886199,613570
3,64267768,613571
3,64640442,613571
3,65021556,613571
3,65416948,613573
3,65803767,613572
3,66185089,613571
3,66557492,613574
3,66907319,613574
3,67265495,613573
3,67641432,613574
3,68020015,613575
3,68392123,613575
3,68787719,613575
3,69162202,613575
3,69513560,613575
3,69886086,613575
3,70286433,613576
3,70638219,613576
3,71015351,613576
3,71412761,613577
3,71807802,613577
3,72184307,613577
3,72578035,613577
3,72950567,613577
3,73309617,613577
3,73701439,613577
3,74067217,613577
3,74436640,613579
3,74825769,613579
3,75204878,613579
