trial_id,config,direction,target_counts,home_counts,t_cmd_ns,t_react_ns,t_engage_ns,t_complete_ns,reaction_us,motion_us,settle_us,total_us,final_pos_counts,final_error_counts
0,010um_pos,1,423395,421395,2757039890529386,2757039891310103,2757039933409608,2757039985781089,780.717,42099.505,52371.481,95251.703,423397,2
1,010um_pos,1,425397,423397,2757039986558301,2757039989159980,2757040026702556,2757040085985380,2601.679,37542.576,59282.824,99427.079,425399,2
2,010um_pos,1,427399,425399,2757040086763266,2757040089436582,2757040126576701,2757040181386479,2673.316,37140.119,54809.778,94623.213,427401,2
3,010um_pos,1,429401,427401,2757040182144707,2757040184802122,2757040221992087,2757040280739495,2657.415,37189.965,58747.408,98594.788,429404,3
4,010um_pos,1,431403,429403,2757040281546832,2757040284228359,2757040321556532,2757040374353510,2681.527,37328.173,52796.978,92806.678,431405,2
5,010um_pos,1,433405,431405,2757040375034566,2757040377413971,2757040414804212,2757040468406206,2379.405,37390.241,53601.994,93371.64,433408,3
6,010um_pos,1,435408,433408,2757040469168197,2757040472204743,2757040509020605,2757040566760652,3036.546,36815.862,57740.047,97592.455,435411,3
7,010um_pos,1,437411,435411,2757040567512014,2757040570380734,2757040607320155,2757040660283742,2868.72,36939.421,52963.587,92771.728,437414,3
8,010um_pos,1,439413,437413,2757040660993047,2757040663846892,2757040701024761,2757040754680968,2853.845,37177.869,53656.207,93687.921,439416,3
9,010um_pos,1,441416,439416,2757040755372368,2757040758180558,2757040795430161,2757040854865442,2808.19,37249.603,59435.281,99493.074,441418,2
10,010um_pos,1,443418,441418,2757040855652728,2757040858760403,2757040895656648,2757040955387913,3107.675,36896.245,59731.265,99735.185,443420,2
11,010um_pos,1,445420,443420,2757040956183956,2757040958863976,2757040996233822,2757041057864392,2680.02,37369.846,61630.57,101680.436,445422,2
12,010um_pos,1,447422,445422,2757041058640650,2757041061703060,2757041098782886,2757041161240526,3062.41,37079.826,62457.64,102599.876,447424,2
13,010um_pos,1,449424,447424,2757041162020947,2757041165040632,2757041201883789,2757041262409528,3019.685,36843.157,60525.739,100388.581,449427,3
14,010um_pos,1,451427,449427,2757041263184907,2757041266201936,2757041303041719,2757041364803134,3017.029,36839.783,61761.415,101618.227,451429,2
15,010um_pos,1,453429,451429,2757041365641963,2757041368653357,2757041405590268,2757041467779175,3011.394,36936.911,62188.907,102137.212,453431,2
16,010um_pos,1,455431,453431,2757041468553208,2757041471115147,2757041508448796,2757041565508720,2561.939,37333.649,57059.924,96955.512,455433,2
17,010um_pos,1,457433,455433,2757041566285814,2757041569262273,2757041606041538,2757041664133858,2976.459,36779.265,58092.32,97848.044,457433,0
18,010um_pos,1,459435,457435,2757041664905088,2757041667861139,2757041704697140,2757041761113654,2956.051,36836.001,56416.514,96208.566,459437,2
19,010um_pos,1,461437,459437,2757041761883873,2757041764552481,2757041801758417,2757041855197226,2668.608,37205.936,53438.809,93313.353,461439,2
20,010um_pos,1,463439,461439,2757041855951081,2757041858596576,2757041895611769,2757041951260847,2645.495,37015.193,55649.078,95309.766,463441,2
21,010um_pos,1,465441,463441,2757041952041523,2757041954634868,2757041992039554,2757042048509866,2593.345,37404.686,56470.312,96468.343,465443,2
22,010um_pos,1,467444,465444,2757042049305125,2757042052426167,2757042089017295,2757042146528123,3121.042,36591.128,57510.828,97222.998,467446,2
23,010um_pos,1,469446,467446,2757042147329277,2757042150383486,2757042187114121,2757042244529140,3054.209,36730.635,57415.019,97199.863,469449,3
24,010um_pos,1,471449,469449,2757042245321870,2757042248787526,2757042285014959,2757042343260357,3465.656,36227.433,58245.398,97938.487,471451,2
25,010um_pos,1,473451,471451,2757042344082112,2757042347111363,2757042383755196,2757042444484499,3029.251,36643.833,60729.303,100402.387,473453,2
26,010um_pos,1,475453,473453,2757042445264471,2757042448238170,2757042485277077,2757042541628026,2973.699,37038.907,56350.949,96363.555,475455,2
27,010um_pos,1,477455,475455,2757042542428995,2757042545109987,2757042582401057,2757042638132846,2680.992,37291.07,55731.789,95703.851,477456,1
28,010um_pos,1,479456,477456,2757042638947042,2757042641923428,2757042678879604,2757042735608754,2976.386,36956.176,56729.15,96661.712,479457,1
29,010um_pos,1,481457,479457,2757042736383302,2757042738942645,2757042776381857,2757042830173558,2559.343,37439.212,53791.701,93790.256,481459,2
30,010um_pos,1,483459,481459,2757042830944908,2757042834025727,2757042870983536,2757042927673655,3080.819,36957.809,56690.119,96728.747,483460,1
31,010um_pos,1,485460,483460,2757042928449828,2757042931038638,2757042968545460,2757043026155240,2588.81,37506.822,57609.78,97705.412,485462,2
32,010um_pos,1,487462,485462,2757043026949112,2757043030034746,2757043067153184,2757043121730067,3085.634,37118.438,54576.883,94780.955,487464,2
33,010um_pos,1,489464,487464,2757043122485331,2757043125548284,2757043162400429,2757043221360030,3062.953,36852.145,58959.601,98874.699,489466,2
34,010um_pos,1,491466,489466,2757043222156685,2757043225535162,2757043262014944,2757043319383181,3378.477,36479.782,57368.237,97226.496,491467,1
35,010um_pos,1,493468,491468,2757043320175726,2757043323608978,2757043360318934,2757043414774264,3433.252,36709.956,54455.33,94598.538,493469,1
36,010um_pos,1,495469,493469,2757043415547912,2757043418174852,2757043455557207,2757043513609535,2626.94,37382.355,58052.328,98061.623,495469,0
37,010um_pos,1,497470,495470,2757043514384012,2757043517442163,2757043554196866,2757043610712809,3058.151,36754.703,56515.943,96328.797,497471,1
38,010um_pos,1,499472,497472,2757043611505854,2757043614524711,2757043651197055,2757043708174673,3018.857,36672.344,56977.618,96668.819,499474,2
39,010um_pos,1,501474,499474,2757043708949880,2757043711981167,2757043748649623,2757043805128540,3031.287,36668.456,56478.917,96178.66,501476,2
40,010um_pos,1,503476,501476,2757043805975972,2757043809034507,2757043845415818,2757043899834651,3058.535,36381.311,54418.833,93858.679,503478,2
41,010um_pos,1,505478,503478,2757043900800320,2757043903694625,2757043940545505,2757043997399130,2894.305,36850.88,56853.625,96598.81,505480,2
42,010um_pos,1,507480,505480,2757043998130717,2757044001545865,2757044038013902,2757044093296537,3415.148,36468.037,55282.635,95165.82,507482,2
43,010um_pos,1,509482,507482,2757044094330022,2757044096964339,2757044134499294,2757044187152733,2634.317,37534.955,52653.439,92822.711,509484,2
44,010um_pos,1,511484,509484,2757044187919701,2757044190479426,2757044228011356,2757044284729629,2559.725,37531.93,56718.273,96809.928,511485,1
45,010um_pos,1,513485,511485,2757044285503987,2757044288105332,2757044325444698,2757044383233484,2601.345,37339.366,57788.786,97729.497,513488,3
46,010um_pos,1,515488,513488,2757044384037221,2757044386668874,2757044423846542,2757044483044552,2631.653,37177.668,59198.01,99007.331,515490,2
47,010um_pos,1,517490,515490,2757044483891037,2757044486654113,2757044523630284,2757044584149861,2763.076,36976.171,60519.577,100258.824,517492,2
48,010um_pos,1,519492,517492,2757044584922416,2757044587856027,2757044624757260,2757044679296804,2933.611,36901.233,54539.544,94374.388,519493,1
49,010um_pos,1,521492,519492,2757044680083133,2757044681628382,2757044720089854,2757044772728470,1545.249,38461.472,52638.616,92645.337,521494,2
50,010um_pos,1,523493,521493,2757044773482984,2757044776130222,2757044813216296,2757044868644167,2647.238,37086.074,55427.871,95161.183,523495,2
51,010um_pos,1,525495,523495,2757044869373688,2757044872054583,2757044909078878,2757044970106344,2680.895,37024.295,61027.466,100732.656,525498,3
52,010um_pos,1,527498,525498,2757044970875757,2757044973478519,2757045010814686,2757045066253184,2602.762,37336.167,55438.498,95377.427,527501,3
53,010um_pos,1,529500,527500,2757045067035446,2757045069646306,2757045107149867,2757045167416879,2610.86,37503.561,60267.012,100381.433,529502,2
54,010um_pos,1,531501,529501,2757045168196165,2757045170853649,2757045208029492,2757045265885230,2657.484,37175.843,57855.738,97689.065,531504,3
55,010um_pos,1,533503,531503,2757045266647125,2757045269229478,2757045306562372,2757045372542858,2582.353,37332.894,65980.486,105895.733,533504,1
56,010um_pos,1,535504,533504,2757045373277955,2757045375964079,2757045413250147,2757045475569740,2686.124,37286.068,62319.593,102291.785,535505,1
57,010um_pos,1,537505,535505,2757045476390500,2757045478776944,2757045516174489,2757045581769884,2386.444,37397.545,65595.395,105379.384,537507,2
58,010um_pos,1,539507,537507,2757045582566446,2757045585125510,2757045622250667,2757045683440326,2559.064,37125.157,61189.659,100873.88,539509,2
59,010um_pos,1,541509,539509,2757045684212696,2757045686873278,2757045723914490,2757045779167166,2660.582,37041.212,55252.676,94954.47,541512,3
60,010um_pos,1,543512,541512,2757045779896946,2757045782562986,2757045819706204,2757045876602633,2666.04,37143.218,56896.429,96705.687,543514,2
61,010um_pos,1,545514,543514,2757045877374646,2757045879979315,2757045916998852,2757045973232484,2604.669,37019.537,56233.632,95857.838,545517,3
62,010um_pos,1,547515,545515,2757045973999663,2757045976250484,2757046013978958,2757046072188163,2250.821,37728.474,58209.205,98188.5,547517,2
63,010um_pos,1,549517,547517,2757046072919098,2757046075560831,2757046112686369,2757046175833646,2641.733,37125.538,63147.277,102914.548,549518,1
64,010um_pos,1,551519,549519,2757046176605771,2757046179666220,2757046216518943,2757046276187042,3060.449,36852.723,59668.099,99581.271,551522,3
65,010um_pos,1,553522,551522,2757046276946728,2757046279850589,2757046316787299,2757046373644584,2903.861,36936.71,56857.285,96697.856,553524,2
66,010um_pos,1,555524,553524,2757046374419137,2757046377395912,2757046413914977,2757046469539318,2976.775,36519.065,55624.341,95120.181,555526,2
67,010um_pos,1,557526,555526,2757046470335462,2757046473290710,2757046509958420,2757046564166695,2955.248,36667.71,54208.275,93831.233,557528,2
68,010um_pos,1,559528,557528,2757046564936608,2757046567621400,2757046604621802,2757046660994774,2684.792,37000.402,56372.972,96058.166,559530,2
69,010um_pos,1,561530,559530,2757046661769311,2757046664030558,2757046701415601,2757046757766624,2261.247,37385.043,56351.023,95997.313,561533,3
70,010um_pos,1,563532,561532,2757046758539782,2757046761564262,2757046798329983,2757046852353213,3024.48,36765.721,54023.23,93813.431,563534,2
71,010um_pos,1,565534,563534,2757046853147950,2757046855769030,2757046892995825,2757046949392740,2621.08,37226.795,56396.915,96244.79,565536,2
72,010um_pos,1,567536,565536,2757046950145756,2757046953147848,2757046990209849,2757047047871099,3002.092,37062.001,57661.25,97725.343,567538,2
73,010um_pos,1,569538,567538,2757047048627243,2757047051251105,2757047088671827,2757047144371045,2623.862,37420.722,55699.218,95743.802,569540,2
74,010um_pos,1,571540,569540,2757047145147042,2757047147766261,2757047185101063,2757047240995203,2619.219,37334.802,55894.14,95848.161,571542,2
75,010um_pos,1,573542,571542,2757047241810868,2757047244473911,2757047281496540,2757047339414454,2663.043,37022.629,57917.914,97603.586,573544,2
76,010um_pos,1,575543,573543,2757047340190705,2757047342797506,2757047380121275,2757047439314511,2606.801,37323.769,59193.236,99123.806,575545,2
77,010um_pos,1,577545,575545,2757047440125194,2757047443101837,2757047479994866,2757047545495915,2976.643,36893.029,65501.049,105370.721,577547,2
78,010um_pos,1,579547,577547,2757047546272002,2757047548973032,2757047586250567,2757047648101512,2701.03,37277.535,61850.945,101829.51,579548,1
79,010um_pos,1,581548,579548,2757047648895070,2757047651164464,2757047688788222,2757047750788490,2269.394,37623.758,62000.268,101893.42,581551,3
80,010um_pos,1,583551,581551,2757047751558163,2757047754660695,2757047791515905,2757047846045428,3102.532,36855.21,54529.523,94487.265,583553,2
81,010um_pos,1,585553,583553,2757047846827243,2757047849473347,2757047886745222,2757047937217795,2646.104,37271.875,50472.573,90390.552,585555,2
82,010um_pos,1,587555,585555,2757047938236135,2757047941023382,2757047978245632,2757048038491747,2787.247,37222.25,60246.115,100255.612,587558,3
83,010um_pos,1,589557,587557,2757048039250235,2757048041890160,2757048079097641,2757048137455074,2639.925,37207.481,58357.433,98204.839,589559,2
84,010um_pos,1,591559,589559,2757048138228788,2757048140849038,2757048177970580,2757048230395515,2620.25,37121.542,52424.935,92166.727,591561,2
85,010um_pos,1,593562,591562,2757048231171520,2757048233790991,2757048271258184,2757048337662351,2619.471,37467.193,66404.167,106490.831,593563,1
86,010um_pos,1,595564,593564,2757048338479369,2757048341598280,2757048378222164,2757048436636795,3118.911,36623.884,58414.631,98157.426,595566,2
87,010um_pos,1,597566,595566,2757048437433471,2757048440103327,2757048477142088,2757048532230017,2669.856,37038.761,55087.929,94796.546,597568,2
88,010um_pos,1,599569,597569,2757048533054980,2757048535709000,2757048573028252,2757048627578706,2654.02,37319.252,54550.454,94523.726,599571,2
89,010um_pos,1,601571,599571,2757048628376780,2757048631412507,2757048668126544,2757048725901574,3035.727,36714.037,57775.03,97524.794,601573,2
90,010um_pos,1,603573,601573,2757048726973312,2757048729995715,2757048767044236,2757048832615455,3022.403,37048.521,65571.219,105642.143,603575,2
91,010um_pos,1,605575,603575,2757048833404444,2757048836740933,2757048873161255,2757048927842322,3336.489,36420.322,54681.067,94437.878,605577,2
92,010um_pos,1,607577,605577,2757048928619494,2757048931220275,2757048968386750,2757049031616067,2600.781,37166.475,63229.317,102996.573,607580,3
93,010um_pos,1,609580,607580,2757049032396680,2757049035024325,2757049072140749,2757049134242634,2627.645,37116.424,62101.885,101845.954,609582,2
94,010um_pos,1,611582,609582,2757049135047030,2757049137679050,2757049174638518,2757049231763030,2632.02,36959.468,57124.512,96716.0,611585,3
95,010um_pos,1,613585,611585,2757049232538780,2757049235575621,2757049272286323,2757049337386329,3036.841,36710.702,65100.006,104847.549,613587,2
96,010um_pos,1,615587,613587,2757049338171188,2757049341138621,2757049377741840,2757049443739706,2967.433,36603.219,65997.866,105568.518,615589,2
97,010um_pos,1,617589,615589,2757049444472478,2757049446966704,2757049484158692,2757049540020725,2494.226,37191.988,55862.033,95548.247,617592,3
98,010um_pos,1,619592,617592,2757049540785621,2757049543830233,2757049580386804,2757049638760898,3044.612,36556.571,58374.094,97975.277,619594,2
99,010um_pos,1,621594,619594,2757049639491656,2757049642096470,2757049679218251,2757049737838944,2604.814,37121.781,58620.693,98347.288,621596,2
100,010um_neg,-1,619596,621596,2757049738618526,2757049740861290,2757049778964377,2757049831573076,2242.764,38103.087,52608.699,92954.55,619593,3
101,010um_neg,-1,617593,619593,2757049832370694,2757049835025193,2757049872307934,2757049933578821,2654.499,37282.741,61270.887,101208.127,617591,2
102,010um_neg,-1,615592,617592,2757049934395184,2757049936265429,2757049974573319,2757050029117204,1870.245,38307.89,54543.885,94722.02,615590,2
103,010um_neg,-1,613589,615589,2757050029952858,2757050032658401,2757050070085730,2757050130387044,2705.543,37427.329,60301.314,100434.186,613587,2
104,010um_neg,-1,611587,613587,2757050131161961,2757050133430273,2757050171549410,2757050231216752,2268.312,38119.137,59667.342,100054.791,611585,2
105,010um_neg,-1,609585,611585,2757050231997448,2757050234242153,2757050271923620,2757050331782002,2244.705,37681.467,59858.382,99784.554,609583,2
106,010um_neg,-1,607583,609583,2757050332599962,2757050334489763,2757050372403149,2757050437383799,1889.801,37913.386,64980.65,104783.837,607582,1
107,010um_neg,-1,605582,607582,2757050438168490,2757050440403659,2757050477882308,2757050554595316,2235.169,37478.649,76713.008,116426.826,605580,2
108,010um_neg,-1,603580,605580,2757050555410861,2757050558094263,2757050595135785,2757050650552788,2683.402,37041.522,55417.003,95141.927,603577,3
109,010um_neg,-1,601577,603577,2757050651368812,2757050653610546,2757050690966849,2757050745508533,2241.734,37356.303,54541.684,94139.721,601575,2
110,010um_neg,-1,599574,601574,2757050746281000,2757050748486108,2757050785860107,2757050850676138,2205.108,37373.999,64816.031,104395.138,599572,2
