trial_id,t_ns_since_cmd,position_counts
0,737576,1190093
0,1142966,1190093
0,1493525,1190093
0,1853717,1190093
0,2263536,1190093
0,2628277,1190062
0,3038733,1190031
0,3429789,1189984
0,3930920,1189820
0,4467896,1189208
0,4972707,1188119
0,5489576,1187647
0,6008869,1186454
0,6549982,1185748
0,7075202,1184734
0,7496236,1184176
0,7917494,1183560
0,8309894,1183053
0,8704157,1182743
0,9170958,1182289
0,9598727,1181835
0,10089273,1181445
0,10591691,1181087
0,11112610,1180821
0,11537166,1180634
0,11944438,1180406
0,12309643,1180209
0,12703459,1180136
0,13069402,1180085
0,13435249,1180073
0,13827525,1180048
0,14250128,1180031
0,14660798,1180045
0,15022767,1180120
0,15409612,1180178
0,15766223,1180244
0,16143926,1180317
0,16531859,1180380
0,16897926,1180426
0,17268540,1180463
0,17662242,1180488
0,18080335,1180496
0,18474311,1180493
0,18857641,1180475
0,19246991,1180456
0,19617824,1180437
0,19971703,1180407
0,20324316,1180374
0,20703056,1180342
0,21057674,1180305
0,21451241,1180276
0,21802620,1180248
0,22180292,1180230
0,22554441,1180215
0,22953292,1180208
0,23304025,1180202
0,23677959,1180202
0,24053594,1180201
0,24428682,1180202
0,24801647,1180202
0,25199790,1180202
0,25553085,1180202
0,25943001,1180200
0,26328109,1180200
0,26704140,1180196
0,27081275,1180193
0,27452742,1180191
0,27805165,1180187
0,28182849,1180181
0,28591115,1180176
0,28975302,1180170
0,29349847,1180165
0,29723711,1180160
0,30098379,1180155
0,30469889,1180152
0,30824950,1180149
0,31233040,1180145
0,31599469,1180142
0,31956403,1180139
0,32346449,1180137
0,32719365,1180137
0,33080150,1180133
0,33450881,1180130
0,33802706,1180130
0,34199961,1180128
0,34552734,1180125
0,34931204,1180125
0,35303588,1180123
0,35677741,1180122
0,36054914,1180121
0,36427062,1180120
0,36802210,1180118
0,37183476,1180116
0,37557905,1180115
0,37953978,1180115
0,38306412,1180111
0,38680719,1180111
0,39079438,1180111
0,39431172,1180108
0,39802447,1180107
0,40203727,1180107
0,40552566,1180106
0,40932387,1180105
0,41328774,1180103
0,41679750,1180103
0,42057582,1180103
0,42451936,1180103
0,42804401,1180102
0,43179695,1180101
0,43574720,1180101
0,43953174,1180101
0,44304139,1180100
0,44697582,1180099
0,45058966,1180098
0,45429588,1180099
0,45822823,1180097
0,46204435,1180097
0,46555876,1180097
0,46952305,1180097
0,47304364,1180096
0,47680205,1180096
0,48076972,1180096
0,48448352,1180096
0,48801999,1180096
0,49181234,1180096
0,49577111,1180096
0,49932631,1180095
0,50305464,1180095
0,50702892,1180095
0,51058784,1180094
0,51431172,1180093
0,51802869,1180093
0,52193511,1180093
0,52578813,1180092
1,744660,1180082
1,1142016,1179765
1,1504041,1179185
1,1916167,1178721
1,2268420,1177995
1,2622515,1177181
1,2996884,1176096
1,3372183,1174946
1,3747552,1173861
1,4096985,1173397
1,4450604,1173020
1,4827275,1172214
1,5225199,1171847
1,5603213,1171527
1,5954067,1171148
1,6350592,1171081
1,6706943,1170995
1,7079848,1170647
1,7471899,1170504
1,7850409,1170296
1,8201410,1169888
1,8601941,1169775
1,8955529,1169691
1,9327108,1169608
1,9708196,1169609
1,10102255,1169555
1,10454340,1169539
1,10829173,1169538
1,11202682,1169584
1,11581847,1169638
1,11953285,1169708
1,12347060,1169787
1,12706845,1169865
1,13078951,1169957
1,13451169,1170014
1,13826761,1170074
1,14202250,1170122
1,14598568,1170154
1,14950381,1170167
1,15326727,1170176
1,15723452,1170177
1,16076775,1170175
1,16449096,1170156
1,16852140,1170143
1,17204835,1170124
1,17580557,1170105
1,17975345,1170082
1,18329425,1170062
1,18707221,1170045
1,19102049,1170035
1,19451298,1170027
1,19829870,1170028
1,20224866,1170029
1,20582128,1170039
1,20953586,1170046
1,21346684,1170055
1,21705814,1170060
1,22078896,1170067
1,22472486,1170071
1,22849214,1170072
1,23211253,1170073
1,23602424,1170075
1,23973638,1170076
1,24334130,1170077
1,24725905,1170077
1,25098902,1170077
1,25450247,1170077
1,25827360,1170074
1,26200352,1170073
1,26578615,1170073
1,26950212,1170073
1,27345069,1170073
1,27729543,1170074
1,28098238,1170076
1,28471495,1170076
1,28871827,1170077
1,29224504,1170079
1,29602325,1170080
1,29954234,1170080
1,30325012,1170081
1,30726802,1170081
1,31075004,1170082
1,31452330,1170083
1,31849180,1170083
1,32201770,1170082
1,32580027,1170082
1,32976055,1170083
1,33346989,1170083
1,33705623,1170083
1,34100872,1170083
1,34449922,1170083
1,34828110,1170083
1,35223682,1170083
1,35580679,1170083
1,35951574,1170085
1,36347313,1170085
1,36701449,1170085
1,37075361,1170085
1,37449086,1170086
1,37825949,1170086
1,38201605,1170087
1,38589193,1170086
1,38950416,1170087
1,39325511,1170087
1,39705999,1170087
1,40100946,1170087
1,40453821,1170087
1,40829317,1170087
1,41225741,1170087
1,41577136,1170087
1,41950906,1170088
1,42350576,1170088
1,42704950,1170089
1,43077163,1170089
1,43471960,1170089
1,43869928,1170089
1,44221215,1170089
1,44602454,1170089
1,44951516,1170089
1,45326113,1170089
1,45726590,1170089
1,46077729,1170090
1,46450351,1170090
1,46847847,1170090
1,47210024,1170090
1,47579398,1170090
1,47980420,1170090
2,719750,1170066
2,1125786,1169616
2,1514862,1169108
2,1894870,1168633
2,2246411,1167902
2,2622378,1167052
2,2993355,1165937
2,3371323,1164821
2,3755759,1163658
2,4143987,1163306
2,4493205,1162857
2,4874774,1162168
2,5231380,1161807
2,5644205,1161467
2,6000706,1161142
2,6392928,1161116
2,6754918,1160953
2,7122295,1160621
2,7474633,1160500
2,7829506,1160261
2,8204373,1159844
2,8599487,1159762
2,8955048,1159671
2,9328686,1159590
2,9723401,1159594
2,10121248,1159535
2,10497201,1159531
2,10851018,1159529
2,11203421,1159575
2,11578510,1159628
2,11980510,1159700
2,12373506,1159773
2,12760870,1159852
2,13123708,1159933
2,13476934,1159988
2,13832151,1160056
2,14224370,1160099
2,14598642,1160133
2,14957425,1160146
2,15330752,1160162
2,15705746,1160165
2,16081091,1160165
2,16455523,1160150
2,16853795,1160133
2,17247156,1160119
2,17621703,1160103
2,17978762,1160078
2,18372097,1160061
2,18755140,1160047
2,19141993,1160038
2,19493680,1160033
2,19851856,1160031
2,20224425,1160034
2,20578174,1160043
2,20957160,1160046
2,21348555,1160055
2,21702326,1160061
2,22079642,1160067
2,22484630,1160068
2,22876328,1160072
2,23281429,1160073
2,23664938,1160075
2,24022768,1160077
2,24414964,1160078
2,24799165,1160078
2,25191801,1160076
2,25602063,1160076
2,25957909,1160074
2,26352746,1160073
2,26724412,1160073
2,27123688,1160074
2,27497577,1160074
2,27852879,1160074
2,28206162,1160075
2,28580166,1160077
2,28978024,1160077
2,29330948,1160078
2,29704213,1160080
2,30100819,1160080
2,30453737,1160080
2,30831319,1160081
2,31224876,1160082
2,31578775,1160081
2,31955389,1160082
2,32351334,1160082
2,32703330,1160083
2,33078757,1160083
2,33454886,1160083
2,33843552,1160084
2,34209340,1160084
2,34623195,1160084
2,34977628,1160084
2,35330153,1160084
2,35706767,1160085
2,36082114,1160085
2,36454634,1160085
2,36831743,1160085
2,37205599,1160085
2,37580766,1160085
2,37956409,1160085
2,38350380,1160085
2,38704106,1160085
2,39080081,1160085
2,39476133,1160086
2,39831047,1160086
2,40203539,1160086
2,40598838,1160086
2,40956589,1160086
2,41329612,1160087
2,41725921,1160087
2,42123425,1160087
2,42494627,1160089
2,42852273,1160089
2,43203858,1160089
2,43577861,1160089
2,43977135,1160089
2,44327373,1160089
2,44702503,1160089
2,45102280,1160089
2,45453612,1160089
