trial_id,t_ns_since_cmd,position_counts
0,722018,1036588
0,1119783,1036262
0,1496176,1035682
0,1894440,1035128
0,2287436,1034346
0,2671559,1033397
0,3061529,1032829
0,3453113,1032838
0,3832856,1032508
0,4243992,1032320
0,4596978,1032444
0,4954077,1032406
0,5348757,1032166
0,5720981,1032114
0,6078032,1032011
0,6429391,1031852
0,6815387,1031816
0,7202391,1031694
0,7553964,1031656
0,7933192,1031600
0,8283714,1031406
0,8658801,1031351
0,9041359,1031300
0,9409353,1031259
0,9797364,1031282
0,10187806,1031270
0,10577785,1031306
0,10933776,1031336
0,11307371,1031401
0,11657336,1031448
0,12038643,1031504
0,12432358,1031555
0,12804402,1031585
0,13162978,1031620
0,13554441,1031623
0,13912357,1031641
0,14307658,1031636
0,14681225,1031637
0,15037614,1031622
0,15410608,1031617
0,15814285,1031605
0,16201143,1031599
0,16575111,1031588
0,16932025,1031582
0,17284881,1031575
0,17658356,1031572
0,18055878,1031572
0,18409519,1031569
0,18794513,1031576
0,19180762,1031577
0,19534823,1031582
0,19914582,1031584
0,20307183,1031586
0,20668297,1031586
0,21037593,1031588
0,21431451,1031586
0,21797240,1031587
0,22180153,1031586
0,22553342,1031586
0,22911878,1031586
0,23283089,1031586
0,23660373,1031585
0,24056390,1031585
0,24409910,1031585
0,24796026,1031585
0,25183726,1031585
0,25574689,1031586
0,25934105,1031587
0,26316989,1031588
0,26703814,1031587
0,27060232,1031588
0,27431971,1031588
0,27797480,1031588
0,28206143,1031588
0,28596291,1031588
0,28955215,1031588
0,29325904,1031588
0,29681236,1031588
0,30038653,1031588
0,30409641,1031589
0,30817757,1031590
0,31226256,1031590
0,31618076,1031589
0,31996984,1031590
0,32392073,1031590
0,32816643,1031591
0,33223473,1031591
0,33574753,1031591
0,33933838,1031591
0,34328382,1031591
0,34703326,1031591
0,35056271,1031591
0,35410925,1031591
0,35796523,1031593
0,36182981,1031592
0,36555209,1031592
0,36922258,1031594
0,37307620,1031594
0,37657720,1031594
0,38035216,1031593
0,38432025,1031595
0,38793514,1031593
0,39158813,1031594
0,39534646,1031595
0,39910019,1031594
0,40283763,1031595
0,40658455,1031595
0,41035180,1031594
0,41408560,1031594
0,41796471,1031595
0,42184949,1031595
0,42578753,1031596
0,42934065,1031596
0,43306301,1031596
0,43661114,1031596
0,44036267,1031596
0,44430524,1031596
