trial_id,t_ns_since_cmd,position_counts
0,723217,736593
0,1124479,736203
0,1488988,735681
0,1875019,735222
0,2247909,734838
0,2604324,735136
0,2976965,735140
0,3373240,735096
0,3729274,735101
0,4101363,734932
0,4504492,734921
0,4876589,734831
0,5270911,734752
0,5627463,734680
0,6008303,734525
0,6395539,734488
0,6793426,734423
0,7165563,734406
0,7524180,734428
0,7896359,734450
0,8248358,734508
0,8605211,734552
0,9000156,734596
0,9372047,734618
0,9727782,734628
0,10102346,734641
0,10499125,734640
0,10851153,734645
0,11225754,734643
0,11623790,734648
0,11976672,734647
0,12350764,734645
0,12733701,734637
0,13106576,734632
0,13487663,734623
0,13874946,734617
0,14230054,734610
0,14605848,734608
0,14997034,734609
0,15351041,734610
0,15730597,734613
0,16127135,734614
0,16522130,734617
0,16895189,734619
0,17250446,734618
0,17606805,734618
0,17979475,734618
0,18373964,734618
0,18728958,734618
0,19103022,734618
0,19485112,734617
0,19884299,734617
0,20270172,734616
0,20625948,734616
0,20997648,734616
0,21372077,734616
0,21747938,734616
0,22100106,734616
0,22484253,734617
0,22893213,734618
0,23245686,734618
0,23605467,734618
0,24019122,734618
0,24371963,734618
0,24728457,734618
0,25102531,734618
0,25504158,734616
0,25893894,734619
0,26267703,734619
0,26624929,734617
0,26976193,734616
0,27350356,734617
0,27753592,734617
0,28146495,734618
0,28522520,734618
0,28938752,734618
0,29330229,734619
0,29704536,734619
0,30063430,734619
0,30486206,734619
0,30874476,734619
0,31225572,734619
0,31604312,734618
0,31999067,734618
0,32372120,734618
0,32727815,734618
0,33123054,734618
0,33487011,734617
0,33872568,734617
0,34247890,734617
0,34605402,734618
0,34978013,734619
0,35371751,734619
0,35728290,734619
0,36101844,734618
0,36503936,734618
0,36874259,734618
0,37228867,734618
0,37606303,734618
0,37979167,734618
0,38351093,734618
0,38730999,734618
0,39104076,734618
0,39486406,734618
0,39893101,734618
1,697390,734609
1,1081538,734192
1,1494677,733700
1,1849640,733288
1,2224292,732835
1,2576914,733111
1,2966738,733147
1,3328873,733083
1,3701492,733107
1,4100616,732942
1,4514391,732936
1,4877263,732843
1,5268432,732745
1,5639948,732657
1,6000149,732528
1,6393325,732486
1,6767875,732422
1,7165250,732415
1,7543090,732438
1,7941719,732476
1,8350922,732516
1,8701855,732548
1,9080028,732585
1,9476627,732595
1,9873551,732608
1,10245627,732612
1,10596900,732619
1,10957337,732622
1,11329289,732624
1,11721669,732630
1,12079763,732629
1,12463185,732623
1,12851915,732616
1,13225404,732613
1,13576469,732604
1,13974733,732600
1,14327717,732596
1,14701586,732597
1,15077655,732597
1,15452456,732600
1,15836835,732602
1,16227937,732606
1,16622465,732606
1,17020236,732607
1,17414975,732607
1,17839037,732607
1,18227757,732607
1,18598623,732608
1,18953894,732608
1,19327877,732608
1,19726063,732608
1,20081938,732607
1,20476097,732607
1,20836519,732607
1,21223344,732607
1,21618393,732607
1,21977855,732609
1,22369331,732608
1,22723476,732608
1,23079126,732608
1,23451367,732608
1,23835338,732608
1,24222719,732608
1,24576530,732610
1,24954410,732610
1,25348907,732609
1,25701606,732609
1,26078686,732610
