trial_id,t_ns_since_cmd,position_counts
0,786688,10
0,1190447,505
0,1624974,1080
0,2020611,1611
0,2461056,1630
0,2910106,1372
0,3294103,1571
0,3717310,1602
0,4155044,1774
0,4568748,1838
0,4982851,1937
0,5397931,1989
0,5814722,2043
0,6238921,2057
0,6648553,2069
0,7027804,2065
0,7443965,2058
0,7856552,2035
0,8255114,2024
0,8663467,2010
0,9050202,1996
0,9457925,1986
0,9851922,1978
0,10270645,1973
0,10655902,1972
0,11040175,1972
0,11428877,1978
0,11821456,1981
0,12220035,1982
0,12613478,1985
0,13011997,1988
0,13405751,1989
0,13784365,1990
0,14162942,1993
0,14550571,1994
0,14976945,1993
0,15367801,1993
0,15739011,1992
0,16141836,1992
0,16557462,1992
0,16952196,1993
0,17328275,1993
0,17718039,1993
0,18120411,1994
0,18513892,1994
0,18916977,1995
0,19325132,1997
0,19717868,1997
0,20122036,1997
0,20513347,1997
0,20919490,1997
0,21306927,1997
0,21717808,1997
0,22141593,1998
0,22533455,1998
0,22934204,1998
0,23323408,1998
0,23718165,1998
0,24117083,1998
0,24508905,1998
1,757514,25
1,1154201,430
1,1521935,1043
1,1921638,1538
1,2355183,1712
1,2763147,1379
1,3148568,1543
1,3562697,1558
1,3964258,1690
1,4355427,1800
1,4772230,1859
1,5170380,1966
1,5562275,2000
1,5972878,2044
1,6359836,2053
1,6767463,2065
1,7160720,2057
1,7568195,2047
1,7965220,2028
1,8377419,2015
1,8788098,2002
1,9192287,1988
1,9584093,1976
1,9966430,1972
1,10382495,1966
1,10789023,1964
1,11193485,1970
1,11585036,1974
1,11961991,1974
1,12377920,1978
1,12800014,1980
1,13190051,1983
1,13583945,1983
1,13963210,1987
1,14377183,1989
1,14791962,1988
1,15189944,1988
1,15584640,1988
1,15962679,1988
1,16355010,1988
1,16767111,1988
1,17132470,1989
1,17499297,1990
1,17900252,1990
1,18292493,1990
1,18667351,1992
1,19063443,1992
1,19458286,1992
1,19874139,1992
1,20270253,1992
1,20664826,1993
1,21062301,1993
1,21455589,1993
1,21836677,1993
