trial_id,t_ns_since_cmd,position_counts
0,766527,-14
0,1167104,-431
0,1588019,-996
0,1981896,-1531
0,2396201,-1739
0,2793865,-1306
0,3187903,-1462
0,3587863,-1582
0,3981204,-1657
0,4395630,-1780
0,4794419,-1835
0,5187088,-1929
0,5584207,-1964
0,5980151,-2010
0,6373712,-2016
0,6799339,-2030
0,7194148,-2015
0,7590409,-2012
0,7986307,-2000
0,8374590,-1998
0,8808076,-1986
0,9203866,-1980
0,9608673,-1974
0,10004773,-1972
0,10403843,-1967
0,10812149,-1973
0,11233242,-1978
0,11612245,-1982
0,11978605,-1984
0,12373692,-1992
0,12792673,-1992
0,13211185,-1992
0,13607131,-1994
0,14004964,-1995
0,14429556,-1996
0,14844988,-1995
0,15241627,-1997
0,15612251,-1997
0,16001154,-1996
0,16416830,-1996
0,16798486,-1997
0,17187361,-1997
0,17589007,-1998
0,17980039,-2000
0,18378721,-2001
0,18773131,-2001
0,19166757,-2001
0,19546632,-2002
0,19936475,-2002
0,20311536,-2002
0,20710603,-2003
0,21082748,-2003
0,21496192,-2003
0,21898954,-2003
0,22312104,-2003
0,22712920,-2005
0,23104410,-2005
1,704519,-12
1,1062729,-354
1,1417830,-921
1,1805321,-1406
1,2181820,-1804
1,2649964,-1355
1,3165424,-1536
1,3684285,-1584
1,4207418,-1738
1,4700110,-1821
1,5195301,-1923
1,5705319,-1980
1,6154344,-1993
1,6583064,-2014
1,7106289,-1998
1,7626105,-1990
1,8145786,-1984
1,8649121,-1971
1,9148669,-1959
1,9666551,-1957
1,10112651,-1949
1,10507780,-1948
1,10909254,-1955
1,11296544,-1960
1,11786100,-1964
1,12195593,-1971
1,12674228,-1972
1,13117695,-1974
1,13608283,-1977
1,14050790,-1979
1,14472590,-1980
1,14903723,-1981
1,15296237,-1982
1,15678889,-1983
1,16063685,-1983
1,16417656,-1983
1,16799923,-1985
1,17183495,-1985
1,17537616,-1987
1,17906157,-1987
1,18242594,-1987
1,18622426,-1989
1,18989946,-1989
1,19322161,-1989
1,19677215,-1990
1,20082647,-1992
1,20452359,-1993
1,20832223,-1993
1,21205409,-1993
1,21582453,-1995
1,21953709,-1995
1,22311791,-1996
1,22696338,-1996
1,23066022,-1996
1,23440221,-1996
1,23818548,-1996
1,24209350,-1997
1,24574271,-1997
1,24967608,-1997
1,25339693,-1998
1,25740629,-1999
1,26112589,-1998
1,26519240,-1998
1,26888519,-2001
1,27277574,-2000
1,27678049,-2000
1,28049657,-2000
1,28444401,-2003
1,28842873,-2001
1,29214821,-2001
2,764016,-10
2,1160291,-353
2,1512707,-929
2,1898479,-1419
2,2287322,-1800
2,2706920,-1403
2,3103307,-1457
2,3515326,-1567
2,3873109,-1615
2,4264653,-1736
2,4652444,-1783
2,5039898,-1890
2,5408718,-1936
2,5767284,-1982
2,6180778,-2007
2,6534198,-2021
2,6935354,-2023
