trial_id,t_ns_since_cmd,position_counts
0,701066,13
0,1094630,414
0,1491449,911
0,1868336,1425
0,2261147,2216
0,2613646,3104
0,2970390,4074
0,3344447,5489
0,3742667,6993
0,4158838,8516
0,4510725,10204
0,4867979,12200
0,5263744,13171
0,5656912,14178
0,6056924,15659
0,6448094,16402
0,6825104,17138
0,7219900,17956
0,7592605,18478
0,7969989,18899
0,8361870,19292
0,8727695,19384
0,9113906,19486
0,9466790,19901
0,9850692,20054
0,10243288,20218
0,10634920,20434
0,11013747,20488
0,11418207,20604
0,11809527,20639
0,12198731,20643
0,12555491,20635
0,12956700,20603
0,13363564,20590
0,13721180,20542
0,14112812,20515
0,14487965,20451
0,14869770,20386
0,15262731,20307
0,15612363,20246
0,15970281,20182
0,16343251,20125
0,16740501,20079
0,17093541,20051
0,17466306,20024
0,17865174,20013
0,18218840,20008
0,18591344,20010
0,18989375,20016
0,19363168,20026
0,19722397,20035
0,20113190,20046
0,20465798,20051
0,20849271,20058
0,21240336,20062
0,21591670,20062
0,21970187,20062
0,22346083,20062
0,22741907,20058
0,23094640,20056
0,23470009,20052
0,23866693,20051
0,24263013,20046
0,24611736,20046
0,24991521,20044
0,25390603,20042
0,25763409,20041
0,26114862,20040
0,26470366,20039
0,26846915,20038
0,27239843,20037
0,27592869,20035
0,27970099,20035
0,28363304,20033
0,28727433,20033
0,29092357,20030
0,29488108,20030
0,29847144,20029
0,30217250,20028
0,30612817,20026
0,30966992,20027
0,31341432,20024
0,31755605,20023
0,32117240,20023
0,32480298,20022
0,32870574,20021
0,33260632,20020
0,33635408,20020
0,34034574,20017
0,34403434,20017
0,34760449,20017
0,35115102,20017
0,35478060,20015
0,35870017,20015
0,36261773,20015
0,36611864,20013
0,36969735,20012
0,37342695,20013
0,37738973,20012
0,38093881,20010
0,38465716,20010
0,38868439,20010
0,39260924,20010
0,39632841,20009
0,40031860,20009
0,40383635,20009
0,40761283,20009
0,41113485,20009
0,41465185,20008
0,41845780,20008
0,42239096,20008
0,42590707,20007
0,42971904,20007
0,43365042,20007
0,43724639,20007
0,44094475,20006
0,44490932,20006
0,44846426,20006
0,45220102,20005
0,45613103,20004
0,45967735,20004
0,46346091,20005
0,46742543,20005
0,47116823,20005
0,47471273,20004
0,47868596,20004
0,48262141,20004
0,48682783,20004
0,49071001,20004
0,49457456,20003
0,49870390,20002
0,50269255,20002
1,709347,9
1,1116770,349
1,1510509,987
1,1906908,1506
1,2303064,2395
1,2704280,3439
1,3116169,4606
1,3531915,6091
1,3949159,7652
1,4341980,9239
1,4718375,11235
1,5114192,12836
1,5508754,13574
1,5885863,14956
1,6279470,16034
1,6653522,16599
1,7011175,17506
1,7404707,18171
1,7779836,18613
1,8175987,19077
1,8549819,19328
1,8908535,19340
1,9317713,19632
1,9684251,19993
1,10080591,20045
1,10446600,20263
1,10815365,20418
1,11201396,20484
1,11611447,20581
1,11968883,20571
1,12361777,20587
1,12736792,20558
1,13092270,20544
1,13466999,20521
1,13863186,20490
1,14216099,20454
1,14591170,20379
1,14989271,20305
1,15383840,20231
1,15756361,20173
1,16140396,20101
1,16530275,20060
1,16884526,20020
1,17238502,19993
1,17590540,19977
1,17967849,19972
1,18363729,19969
1,18715970,19974
1,19091958,19986
1,19466861,19997
1,19860910,20008
1,20219463,20023
1,20620382,20032
1,20990746,20038
1,21384462,20044
1,21764719,20046
1,22156143,20046
1,22528294,20047
1,22883930,20043
1,23237977,20041
1,23591885,20039
1,23971243,20034
1,24362783,20031
1,24716960,20031
1,25094355,20027
1,25489002,20025
1,25883868,20025
1,26259239,20025
1,26613492,20024
1,26989829,20023
1,27383490,20023
1,27737061,20023
1,28112681,20020
1,28464210,20020
1,28876256,20021
1,29237131,20020
1,29588794,20018
1,29990245,20018
1,30380563,20018
1,30755285,20016
1,31180010,20015
1,31576387,20015
1,31990467,20014
1,32403903,20012
1,32778668,20012
1,33188144,20012
1,33571635,20011
1,33988805,20010
