trial_id,config,direction,target_counts,home_counts,t_cmd_ns,t_react_ns,t_engage_ns,t_complete_ns,reaction_us,motion_us,settle_us,total_us,final_pos_counts,final_error_counts
0,010um_pos,1,2000,0,2918077591136103,2918077591922791,2918077596534034,2918077615645008,786.688,4611.243,19110.974,24508.905,1998,2
1,010um_pos,1,1998,-2,2918077645291653,2918077646049167,2918077650462033,2918077674850987,757.514,4412.866,24388.954,29559.334,1996,2
2,010um_pos,1,1998,-2,2918077704402786,2918077705102292,2918077709854574,2918077733668450,699.506,4752.282,23813.876,29265.664,1998,0
3,010um_pos,1,1997,-3,2918077762537441,2918077763298426,2918077767999138,2918077790478434,760.985,4700.712,22479.296,27940.993,1996,1
4,010um_pos,1,1998,-2,2918077820742060,2918077821455642,2918077825857977,2918077850257438,713.582,4402.335,24399.461,29515.378,1996,2
5,010um_pos,1,1998,-2,2918077902858863,2918077903573574,2918077908014977,2918077931472125,714.711,4441.403,23457.148,28613.262,1997,1
6,010um_pos,1,1998,-2,2918077960470438,2918077961234803,2918077965561740,2918077991671267,764.365,4326.937,26109.527,31200.829,1997,1
7,010um_pos,1,1998,-2,2918078021758101,2918078022471742,2918078026854692,2918078053036749,713.641,4382.95,26182.057,31278.648,1997,1
8,010um_pos,1,1997,-3,2918078081727830,2918078082580002,2918078087292880,2918078111371074,852.172,4712.878,24078.194,29643.244,1995,2
9,010um_pos,1,1997,-3,2918078140849634,2918078141878190,2918078146234765,2918078171171327,1028.556,4356.575,24936.562,30321.693,1995,2
10,010um_pos,1,1997,-3,2918078199822310,2918078200526043,2918078204846589,2918078230369646,703.733,4320.546,25523.057,30547.336,1996,1
11,010um_pos,1,1999,-1,2918078258903263,2918078259639933,2918078264014917,2918078289296779,736.67,4374.984,25281.862,30393.516,1998,1
12,010um_pos,1,1997,-3,2918078317806494,2918078318699708,2918078322810645,2918078346749037,893.214,4110.937,23938.392,28942.543,1997,0
13,010um_pos,1,1997,-3,2918078406630417,2918078407347741,2918078411663574,2918078433397236,717.324,4315.833,21733.662,26766.819,1995,2
14,010um_pos,1,1998,-2,2918078495416103,2918078496224612,2918078500581738,2918078521296164,808.509,4357.126,20714.426,25880.061,1996,2
15,010um_pos,1,1998,-2,2918078574960759,2918078575698051,2918078580053024,2918078604196352,737.292,4354.973,24143.328,29235.593,1997,1
16,010um_pos,1,1996,-4,2918078633642988,2918078634412166,2918078638788792,2918078663892436,769.178,4376.626,25103.644,30249.448,1995,1
17,010um_pos,1,1998,-2,2918078692481269,2918078693412477,2918078697458647,2918078722436410,931.208,4046.17,24977.763,29955.141,1997,1
18,010um_pos,1,1998,-2,2918078778036898,2918078778767433,2918078783170641,2918078805918831,730.535,4403.208,22748.19,27881.933,1997,1
19,010um_pos,1,1998,-2,2918078835193600,2918078835952575,2918078840340892,2918078865213354,758.975,4388.317,24872.462,30019.754,1999,1
20,010um_pos,1,1998,-2,2918078894215308,2918078894925882,2918078899312876,2918078923028499,710.574,4386.994,23715.623,28813.191,1996,2
21,010um_pos,1,1998,-2,2918078952608262,2918078953707208,2918078957681689,2918078983914884,1098.946,3974.481,26233.195,31306.622,1996,2
22,010um_pos,1,1998,-2,2918079012982261,2918079014147193,2918079018070662,2918079043353699,1164.932,3923.469,25283.037,30371.438,1997,1
23,010um_pos,1,1997,-3,2918079072418980,2918079073153606,2918079077837084,2918079099942902,734.626,4683.478,22105.818,27523.922,1997,0
24,010um_pos,1,1998,-2,2918079128754773,2918079129493946,2918079133921852,2918079157874717,739.173,4427.906,23952.865,29119.944,1996,2
25,010um_pos,1,1997,-3,2918079187014408,2918079188102648,2918079192366470,2918079216516772,1088.24,4263.822,24150.302,29502.364,1996,1
26,010um_pos,1,1996,-4,2918079245173190,2918079245909644,2918079250501891,2918079276803424,736.454,4592.247,26301.533,31630.234,1994,2
27,010um_pos,1,1997,-3,2918079305901303,2918079306682601,2918079311093784,2918079335517998,781.298,4411.183,24424.214,29616.695,1997,0
28,010um_pos,1,1998,-2,2918079364836458,2918079365597840,2918079370051333,2918079397337816,761.382,4453.493,27286.483,32501.358,1997,1
29,010um_pos,1,1997,-3,2918079427065859,2918079428097567,2918079432412749,2918079455950087,1031.708,4315.182,23537.338,28884.228,1997,0
30,010um_pos,1,1998,-2,2918079485263613,2918079485990533,2918079490330491,2918079514034753,726.92,4339.958,23704.262,28771.14,1996,2
31,010um_pos,1,1997,-3,2918079543157785,2918079543889428,2918079548274623,2918079571578818,731.643,4385.195,23304.195,28421.033,1996,1
32,010um_pos,1,1997,-3,2918079600774098,2918079601549723,2918079606009915,2918079629542891,775.625,4460.192,23532.976,28768.793,1996,1
33,010um_pos,1,1997,-3,2918079658378744,2918079659096315,2918079663476749,2918079688832169,717.571,4380.434,25355.42,30453.425,1995,2
34,010um_pos,1,1996,-4,2918079718378647,2918079719164004,2918079723701402,2918079747848980,785.357,4537.398,24147.578,29470.333,1994,2
35,010um_pos,1,1998,-2,2918079776834912,2918079777581726,2918079782028502,2918079808072251,746.814,4446.776,26043.749,31237.339,1997,1
36,010um_pos,1,1996,-4,2918079836962501,2918079837718108,2918079842070642,2918079867285085,755.607,4352.534,25214.443,30322.584,1995,1
37,010um_pos,1,1997,-3,2918079896154428,2918079896868603,2918079901580370,2918079927350056,714.175,4711.767,25769.686,31195.628,1995,2
38,010um_pos,1,1998,-2,2918079956546507,2918079957235123,2918079961570036,2918079986831475,688.616,4334.913,25261.439,30284.968,1997,1
39,010um_pos,1,1998,-2,2918080015873346,2918080016637696,2918080021085596,2918080046405330,764.35,4447.9,25319.734,30531.984,1996,2
40,010um_pos,1,1997,-3,2918080075197226,2918080075917283,2918080080393522,2918080103889048,720.057,4476.239,23495.526,28691.822,1996,1
41,010um_pos,1,1998,-2,2918080156852193,2918080157594876,2918080161973818,2918080185562198,742.683,4378.942,23588.38,28710.005,1997,1
42,010um_pos,1,1997,-3,2918080214850828,2918080215590307,2918080219936942,2918080245072881,739.479,4346.635,25135.939,30222.053,1996,1
43,010um_pos,1,1998,-2,2918080275127405,2918080275839035,2918080280491424,2918080306806373,711.63,4652.389,26314.949,31678.968,1997,1
44,010um_pos,1,1996,-4,2918080335734229,2918080336455589,2918080340886853,2918080365532540,721.36,4431.264,24645.687,29798.311,1996,0
45,010um_pos,1,1998,-2,2918080394102347,2918080394836777,2918080399489478,2918080422811991,734.43,4652.701,23322.513,28709.644,1996,2
46,010um_pos,1,1998,-2,2918080451450665,2918080452449950,2918080456552960,2918080480867621,999.285,4103.01,24314.661,29416.956,1996,2
47,010um_pos,1,1996,-4,2918080509929305,2918080510722412,2918080515111775,2918080539887373,793.107,4389.363,24775.598,29958.068,1993,3
48,010um_pos,1,1998,-2,2918080568768849,2918080569526167,2918080573909359,2918080600098089,757.318,4383.192,26188.73,31329.24,1997,1
49,010um_pos,1,1997,-3,2918080629293539,2918080630069641,2918080634737867,2918080659222821,776.102,4668.226,24484.954,29929.282,1996,1
50,010um_pos,1,1996,-4,2918080688886469,2918080689844714,2918080694414546,2918080720992080,958.245,4569.832,26577.534,32105.611,1996,0
51,010um_pos,1,1998,-2,2918080750274645,2918080750987682,2918080755390379,2918080780219047,713.037,4402.697,24828.668,29944.402,1997,1
52,010um_pos,1,1997,-3,2918080809348936,2918080810088655,2918080814409996,2918080839741280,739.719,4321.341,25331.284,30392.344,1996,1
53,010um_pos,1,1998,-2,2918080898126308,2918080898815842,2918080903137008,2918080922592391,689.534,4321.166,19455.383,24466.083,1997,1
54,010um_pos,1,1998,-2,2918080951475918,2918080952195986,2918080956594514,2918080980967360,720.068,4398.528,24372.846,29491.442,1996,2
55,010um_pos,1,1997,-3,2918081009525489,2918081010554878,2918081014785973,2918081040721084,1029.389,4231.095,25935.111,31195.595,1995,2
56,010um_pos,1,1997,-3,2918081069591505,2918081070318704,2918081075046059,2918081100717264,727.199,4727.355,25671.205,31125.759,1997,0
57,010um_pos,1,1998,-2,2918081130192365,2918081130939767,2918081135607530,2918081157759796,747.402,4667.763,22152.266,27567.431,1997,1
58,010um_pos,1,1996,-4,2918081187167211,2918081188244596,2918081192222342,2918081217428156,1077.385,3977.746,25205.814,30260.945,1994,2
59,010um_pos,1,1997,-3,2918081246829477,2918081247529447,2918081251989648,2918081272905426,699.97,4460.201,20915.778,26075.949,1995,2
60,010um_pos,1,1997,-3,2918081334229245,2918081334941628,2918081339637411,2918081358824045,712.383,4695.783,19186.634,24594.8,1995,2
61,010um_pos,1,1997,-3,2918081387767659,2918081388525777,2918081393225270,2918081419048831,758.118,4699.493,25823.561,31281.172,1996,1
62,010um_pos,1,1997,-3,2918081447723826,2918081448484759,2918081453137215,2918081476113711,760.933,4652.456,22976.496,28389.885,1997,0
63,010um_pos,1,1997,-3,2918081504854259,2918081505586945,2918081509927671,2918081534386772,732.686,4340.726,24459.101,29532.513,1995,2
64,010um_pos,1,1998,-2,2918081563579414,2918081564318456,2918081569082662,2918081593949604,739.042,4764.206,24866.942,30370.19,1997,1
65,010um_pos,1,1997,-3,2918081623315328,2918081624079183,2918081628412223,2918081653845264,763.855,4333.04,25433.041,30529.936,1996,1
66,010um_pos,1,1995,-5,2918081683248910,2918081683961953,2918081688637056,2918081713846262,713.043,4675.103,25209.206,30597.352,1994,1
67,010um_pos,1,1996,-4,2918081743450266,2918081744188306,2918081748841859,2918081771925029,738.04,4653.553,23083.17,28474.763,1994,2
68,010um_pos,1,1998,-2,2918081829622029,2918081830699841,2918081835081101,2918081856738361,1077.812,4381.26,21657.26,27116.332,1998,0
69,010um_pos,1,1997,-3,2918081886206686,2918081887306248,2918081891263546,2918081917137533,1099.562,3957.298,25873.987,30930.847,1996,1
70,010um_pos,1,1997,-3,2918081945963903,2918081946743182,2918081951338191,2918081974907730,779.279,4595.009,23569.539,28943.827,1994,3
71,010um_pos,1,1998,-2,2918082004412773,2918082005149253,2918082009494526,2918082035591266,736.48,4345.273,26096.74,31178.493,1997,1
72,010um_pos,1,1998,-2,2918082064577566,2918082065318359,2918082069658531,2918082095384435,740.793,4340.172,25725.904,30806.869,1998,0
73,010um_pos,1,1998,-2,2918082150788642,2918082151526974,2918082155862978,2918082180016616,738.332,4336.004,24153.638,29227.974,1996,2
74,010um_pos,1,1997,-3,2918082209437322,2918082210153109,2918082214548807,2918082239883093,715.787,4395.698,25334.286,30445.771,1995,2
75,010um_pos,1,1998,-2,2918082268584689,2918082269558498,2918082273752308,2918082301372263,973.809,4193.81,27619.955,32787.574,1997,1
76,010um_pos,1,1996,-4,2918082330615039,2918082331472022,2918082335779789,2918082359261159,856.983,4307.767,23481.37,28646.12,1996,0
77,010um_pos,1,1998,-2,2918082388219527,2918082388940121,2918082393501596,2918082419268213,720.594,4561.475,25766.617,31048.686,1996,2
