t_ns_since_cmd,position_counts,op_0x35_hex,op_0xA6_hex,op_0xA7_hex,op_0xAD_hex,op_0x1E_hex,op_0x4A_hex,op_0xB6_hex,op_0x4B_hex
3141421,4344,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
9714795,2917,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
14572894,1946,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
19445705,987,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
23519905,194,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
27227371,-513,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
30935173,-1233,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
34620579,-1949,001d,00002506,000000000000,0000fff70000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
38262347,-2677,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
41776497,-3383,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
45272848,-4084,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
48700914,-4790,001d,00002506,000000000000,0000fff60000,0000fff5e891,0000ffffd85d,001d,0000000a3333
52126595,-5489,001d,00002504,0000000002a9,0000fff60000,0000fff69830,0000ffffd85d,001d,0000000a3333
55610697,-6154,001d,00002504,0000000002a8,0000fff60000,0000fff74d1b,0000ffffd85d,001d,0000000a3333
59087293,-6766,001d,00002504,0000000002a9,0000fff80000,0000fff80204,0000ffffd85d,001d,0000000a3333
62513112,-7322,001d,00002504,0000000002a9,0000fff80000,0000fff8b710,0000ffffd85d,001d,0000000a3333
66017361,-7834,001d,00002504,0000000002a9,0000fffa0000,0000fff96c20,0000ffffd85d,001d,0000000a3333
69494368,-8293,001d,00002504,0000000002aa,0000fffa0000,0000fffa212a,0000ffffd85d,001d,0000000a3333
72932971,-8706,001d,00002504,0000000002a9,0000fffb0000,0000fffad0e6,0000ffffd85d,001d,0000000a3333
76303816,-9048,001d,00002504,0000000002a9,0000fffb0000,0000fffb80a6,0000ffffd85d,001d,0000000a3333
79765712,-9358,001d,00002504,0000000002a9,0000fffc0000,0000fffc35cb,0000ffffd85d,001d,0000000a3333
83283496,-9623,001d,00002504,0000000002a9,0000fffd0000,0000fffceb00,0000ffffd85d,001d,0000000a3333
86689071,-9827,001d,00002504,0000000002aa,0000fffc0000,0000fffd9d98,0000ffffd85d,001d,0000000a3333
90102897,-9988,001d,00002504,0000000002ab,0000ffff0000,0000fffe503b,0000ffffd85d,001d,0000000a3333
93515304,-10104,001d,00002504,0000000002aa,0000fffe0000,0000ffff02f5,0000ffffd85d,001d,0000000a3333
96966831,-10171,001d,00002504,0000000002ac,000000000000,0000ffffb895,0000ffffd85d,001d,0000000a3333
100386711,-10197,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
103766444,-10194,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
107089265,-10189,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
110363316,-10184,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
113704298,-10177,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
116929404,-10170,001d,00002104,000000000000,000000010000,000000000000,0000ffffd85d,001d,0000000a3333
120213747,-10164,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
123463240,-10160,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
126702990,-10158,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
129924276,-10155,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
133201442,-10154,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
136485323,-10152,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
139705477,-10150,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
142988609,-10151,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
146215889,-10150,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
149484721,-10150,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
152759644,-10149,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
