idx,set_ns,update_ns,total_ns
289,384118,331924,716042
290,393309,349202,742511
291,371756,348882,720638
292,349270,356863,706133
293,386760,351600,738360
294,357128,371460,728588
295,403062,361249,764311
296,386566,355158,741724
297,405825,332499,738324
298,355368,343072,698440
299,349702,353979,703681
300,347468,361505,708973
301,402887,353541,756428
302,369107,353536,722643
303,353605,352200,705805
304,385889,330667,716556
305,391520,349588,741108
306,350706,328976,679682
307,353171,354390,707561
308,386493,330094,716587
309,370240,330248,700488
310,390608,353126,743734
311,368829,359359,728188
312,380264,353167,733431
313,357307,372258,729565
314,367551,355523,723074
315,384804,350439,735243
316,392191,328486,720677
317,352307,350382,702689
318,368437,355009,723446
319,351788,351307,703095
320,389796,328098,717894
321,348643,355299,703942
322,387006,372436,759442
323,352492,350784,703276
324,355977,349774,705751
325,365121,359098,724219
326,387047,331236,718283
327,350035,351543,701578
328,363866,336953,700819
329,366976,336811,703787
330,367738,347879,715617
331,357388,328991,686379
332,370915,331099,702014
333,387908,329527,717435
334,393830,349752,743582
335,350491,348298,698789
336,370252,354523,724775
337,351081,347006,698087
338,354801,329585,684386
339,368625,352755,721380
340,353299,385184,738483
341,353245,350243,703488
342,349975,352410,702385
343,349069,353507,702576
344,410350,350389,760739
345,372517,351181,723698
346,362004,341670,703674
347,364727,356311,721038
348,344531,352139,696670
349,372201,349989,722190
350,347922,360756,708678
351,383707,331057,714764
352,374437,328239,702676
353,404999,356938,761937
354,347955,357372,705327
355,387084,361063,748147
356,384614,349422,734036
357,363208,338859,702067
358,387002,355590,742592
359,369062,351874,720936
360,349616,350662,700278
361,368599,355785,724384
362,350278,351403,701681
363,357325,332738,690063
364,370721,348939,719660
365,370223,352892,723115
366,353132,344257,697389
367,352701,350796,703497
368,370707,353451,724158
369,387740,340373,728113
370,383553,352374,735927
371,349696,352130,701826
372,349322,331298,680620
373,367790,351433,719223
374,377551,366216,743767
375,357761,347962,705723
376,384966,360117,745083
377,361741,355238,716979
378,370699,328105,698804
379,369602,353106,722708
380,352492,325715,678207
381,374097,326906,701003
382,377852,344485,722337
383,375008,333448,708456
384,387668,353813,741481
385,391436,327738,719174
386,348882,351993,700875
387,367147,361815,728962
388,382647,349947,732594
389,356007,352179,708186
390,363573,356445,720018
391,387454,330172,717626
392,349169,352616,701785
393,362195,343522,705717
394,365058,358577,723635
395,386332,350502,736834
396,349314,329593,678907
397,347918,355204,703122
398,347762,352053,699815
399,373504,330356,703860
400,380262,362016,742278
401,374072,369288,743360
402,385948,352328,738276
403,358074,365148,723222
404,350499,374047,724546
405,345946,355115,701061
406,389121,331171,720292
407,371758,350353,722111
408,371353,371271,742624
409,387503,379327,766830
410,384302,351261,735563
411,372015,349127,721142
412,353280,351900,705180
413,345528,355088,700616
414,373804,346413,720217
415,378035,347301,725336
416,388593,353544,742137
417,347065,330202,677267
418,353485,349796,703281
419,389585,333394,722979
420,389444,359435,748879
421,383475,349884,733359
422,370603,351348,721951
423,348637,360153,708790
424,362773,350250,713023
425,350459,372954,723413
426,390988,351744,742732
427,368872,353343,722215
428,347649,373743,721392
429,376387,327281,703668
430,348101,353728,701829
431,369592,360584,730176
432,379441,353551,732992
433,351744,330691,682435
434,369705,331532,701237
435,389020,350369,739389
436,373324,351601,724925
437,362248,336869,699117
438,347763,338882,686645
439,384983,351062,736045
440,372879,350191,723070
441,351151,351848,702999
442,346544,350423,696967
443,351908,349356,701264
444,361663,364550,726213
445,346624,354197,700821
446,348405,329699,678104
447,352932,353155,706087
448,346218,354191,700409
449,368661,350303,718964
450,394582,330045,724627
451,383778,357924,741702
452,351763,352280,704043
453,388011,328880,716891
454,351039,352187,703226
455,367890,353133,721023
456,354642,350051,704693
457,363517,344473,707990
458,359348,360634,719982
459,369092,334442,703534
460,384377,351767,736144
461,353179,350683,703862
462,349047,373436,722483
463,347698,355098,702796
464,363389,353354,716743
465,352585,351267,703852
466,346292,356365,702657
467,344552,352102,696654
468,355133,325800,680933
469,348917,354333,703250
470,366912,362567,729479
471,381104,371712,752816
472,395449,349187,744636
473,367970,354845,722815
474,350820,348268,699088
475,397955,325423,723378
476,354192,350343,704535
477,409791,354872,764663
478,388372,330059,718431
479,371801,348263,720064
480,383081,359470,742551
481,351539,353269,704808
482,387911,330585,718496
483,351543,350359,701902
484,390147,331829,721976
485,353162,325311,678473
486,370266,352541,722807
487,356986,343806,700792
488,353637,329127,682764
489,346796,351889,698685
490,396985,327596,724581
491,348642,355104,703746
492,346009,352908,698917
493,346960,372577,719537
494,418296,348783,767079
495,346898,352766,699664
496,352113,349574,701687
497,349166,348247,697413
498,371751,352141,723892
499,370576,362139,732715
500,380186,350431,730617
501,359330,348887,708217
502,366754,352726,719480
503,387281,330015,717296
504,350373,349396,699769
505,357397,344582,701979
506,371374,355259,726633
507,388621,351228,739849
508,350179,331486,681665
509,351976,353971,705947
510,384885,329963,714848
511,394984,348694,743678
512,372600,351533,724133
513,347687,352946,700633
514,390274,348535,738809
515,358497,370122,728619
516,393469,364881,758350
517,352940,328585,681525
518,367895,356069,723964
519,366727,350958,717685
520,371249,357429,728678
521,386772,374580,761352
522,388277,352835,741112
523,370418,348943,719361
524,354414,353257,707671
525,388372,331419,719791
526,392092,349442,741534
527,351231,327018,678249
528,352821,354696,707517
529,385270,329449,714719
530,354043,348648,702691
531,388834,359000,747834
532,363096,360653,723749
533,383131,350718,733849
534,377662,365640,743302
535,353208,353645,706853
536,385611,354834,740445
537,368785,350557,719342
538,366083,357875,723958
539,346166,354381,700547
540,353231,347097,700328
541,349061,352578,701639
542,367305,362786,730091
543,384087,340094,724181
544,380481,347802,728283
545,356833,349941,706774
546,365399,357427,722826
547,386776,353669,740445
548,370226,349230,719456
549,370387,350739,721126
550,390738,359080,749818
551,365410,353925,719335
552,354079,347930,702009
553,365739,356395,722134
554,346734,359522,706256
555,403273,353041,756314
556,391390,328625,720015
557,390251,353101,743352
558,368889,365049,733938
559,378225,351229,729454
560,379424,364775,744199
561,374042,329061,703103
562,347097,353554,700651
563,390632,353481,744113
564,367863,353665,721528
565,423116,342416,765532
566,356083,340942,697025
567,355257,369957,725214
568,400910,356727,757637
569,347094,357908,705002
570,348739,350283,699022
571,350250,369890,720140
572,388137,357304,745441
573,367718,359535,727253
574,402909,352400,755309
575,370966,352068,723034
576,345689,357075,702764
577,350427,350564,700991
