t_ns_since_cmd,position_counts,op_0x35_hex,op_0xA6_hex,op_0xA7_hex,op_0xAD_hex,op_0x1E_hex,op_0x4A_hex,op_0xB6_hex,op_0x4B_hex
2030342,4531,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
6382396,3623,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
10713042,2733,001d,00002506,000000000000,0000fff70000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
14343415,2017,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
17822428,1338,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
21282319,658,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
24870344,-31,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
28298315,-687,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
31764929,-1362,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
35239575,-2033,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
38691943,-2723,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
42116535,-3418,001d,00002506,000000000000,0000fff60000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
45554080,-4114,001d,00002506,000000000000,0000fff50000,0000fff5cccd,0000ffffd85d,001d,0000000a3333
49058005,-4844,001d,00002506,000000000000,0000fff50000,0000fff5f086,0000ffffd85d,001d,0000000a3333
52512761,-5545,001d,00002504,0000000002a8,0000fff60000,0000fff6a7f8,0000ffffd85d,001d,0000000a3333
55989044,-6211,001d,00002504,0000000002a8,0000fff70000,0000fff7576c,0000ffffd85d,001d,0000000a3333
59390223,-6804,001d,00002504,0000000002a8,0000fff80000,0000fff80993,0000ffffd85d,001d,0000000a3333
62809057,-7354,001d,00002504,0000000002a8,0000fff80000,0000fff8bbd1,0000ffffd85d,001d,0000000a3333
66226990,-7856,001d,00002504,0000000002a8,0000fffa0000,0000fff96e13,0000ffffd85d,001d,0000000a3333
69724613,-8317,001d,00002504,0000000002a8,0000fffa0000,0000fffa22f7,0000ffffd85d,001d,0000000a3333
73178898,-8725,001d,00002504,0000000002a8,0000fffb0000,0000fffad7e5,0000ffffd85d,001d,0000000a3333
76614721,-9075,001d,00002504,0000000002a9,0000fffb0000,0000fffb8a2e,0000ffffd85d,001d,0000000a3333
80098190,-9383,001d,00002504,0000000002a9,0000fffc0000,0000fffc3f2c,0000ffffd85d,001d,0000000a3333
83573279,-9641,001d,00002504,0000000002a9,0000fffd0000,0000fffcf443,0000ffffd85d,001d,0000000a3333
87013184,-9846,001d,00002504,0000000002a9,0000fffe0000,0000fffda95d,0000ffffd85d,001d,0000000a3333
90490648,-10004,001d,00002504,0000000002aa,0000fffe0000,0000fffe593d,0000ffffd85d,001d,0000000a3333
93933501,-10115,001d,00002504,0000000002aa,0000ffff0000,0000ffff112d,0000ffffd85d,001d,0000000a3333
97454594,-10180,001d,00002504,0000000002ab,0000ffff0000,0000ffffc403,0000ffffd85d,001d,0000000a3333
100891525,-10202,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
104369213,-10200,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
107808464,-10193,001d,00002104,000000000000,000000010000,000000000000,0000ffffd85d,001d,0000000a3333
111224930,-10183,001d,00002104,000000000000,000000010000,000000000000,0000ffffd85d,001d,0000000a3333
114610311,-10175,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
117986161,-10169,001d,00002104,000000000000,000000010000,000000000000,0000ffffd85d,001d,0000000a3333
121301698,-10163,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
124551187,-10159,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
127780436,-10155,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
131048583,-10154,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
134325290,-10152,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
137654048,-10151,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
140986972,-10152,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
144259377,-10150,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
147574661,-10150,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
150840580,-10150,001d,00002104,000000000000,000000000000,000000000000,0000ffffd85d,001d,0000000a3333
